sample,filter,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,False,15,0.5113,0.0862,-0.325,0.1988,0.517,-0.31893077900918887,-0.10160012806584073,0.11466666666666667,14
5y,False,16,0.5113,0.0862,-0.325,0.1988,0.517,-0.31893077900918887,-0.10160012806584073,0.11466666666666667,15
5y,False,17,0.5771,0.0955,-0.3236,0.203,0.553,-0.3175438952052594,-0.09977068666188904,0.11733333333333333,21
5y,False,18,0.5564,0.0926,-0.3325,0.2034,0.539,-0.3265204410041158,-0.1116116675013572,0.12266666666666666,21
5y,False,19,0.5668,0.0941,-0.3331,0.2055,0.542,-0.3271254083968209,-0.11240968128817896,0.12666666666666668,20
5y,False,20,0.6034,0.0992,-0.3263,0.2061,0.564,-0.32021835998356407,-0.10329857889408534,0.124,20
5y,False,21,0.6507,0.1056,-0.3565,0.2113,0.582,-0.3468064529412632,-0.14698929860693088,0.10133333333333333,24
5y,False,22,0.6507,0.1056,-0.3565,0.2113,0.582,-0.3468064529412632,-0.14698929860693088,0.10133333333333333,25
5y,False,23,0.7239,0.1152,-0.3565,0.2132,0.62,-0.34374342708432404,-0.11377455426535232,0.08533333333333333,29
5y,False,24,0.7459,0.1181,-0.3565,0.2134,0.632,-0.34374342708432404,-0.10457875650716941,0.068,31
5y,False,25,0.7482,0.1184,-0.3565,0.2136,0.633,-0.3474331780394059,-0.10338686619118043,0.06266666666666666,29
5y,False,26,0.7482,0.1184,-0.3565,0.2136,0.633,-0.3474331780394059,-0.10338686619118043,0.06266666666666666,29
5y,False,27,0.7638,0.1203,-0.3565,0.2137,0.641,-0.3474331780394059,-0.09540549087107131,0.05466666666666667,33
5y,False,28,0.8668,0.1331,-0.3565,0.2179,0.685,-0.3474331780394059,-0.09540549087107131,0.05466666666666667,37
5y,False,29,0.8652,0.133,-0.3565,0.2179,0.684,-0.3474331780394059,-0.09540549087107131,0.05466666666666667,36
5y,False,30,0.8674,0.1332,-0.3565,0.2179,0.685,-0.3474331780394059,-0.09540549087107131,0.05466666666666667,32
5y,False,31,0.8823,0.135,-0.3565,0.2179,0.693,-0.3474331780394059,-0.09540549087107131,0.05466666666666667,29
5y,False,32,0.8183,0.1272,-0.3642,0.2183,0.66,-0.3584953398041659,-0.11073996767060124,0.06666666666666667,31
5y,False,33,0.8183,0.1272,-0.3642,0.2183,0.66,-0.3584953398041659,-0.11073996767060124,0.06666666666666667,32
5y,False,34,0.7976,0.1246,-0.3642,0.2184,0.649,-0.3584953398041659,-0.12085045892139779,0.07466666666666667,31
5y,False,35,0.7976,0.1246,-0.3642,0.2184,0.649,-0.3584953398041659,-0.12085045892139779,0.07466666666666667,28
5y,False,36,0.7897,0.1236,-0.3642,0.2185,0.645,-0.3584953398041659,-0.12085045892139779,0.07466666666666667,30
5y,False,37,0.7897,0.1236,-0.3642,0.2185,0.645,-0.3584953398041659,-0.12085045892139779,0.07466666666666667,35
5y,False,38,0.7999,0.1249,-0.3642,0.2185,0.65,-0.3584953398041659,-0.11584207584407169,0.07066666666666667,39
5y,False,39,0.7825,0.1227,-0.3642,0.2185,0.641,-0.3584953398041659,-0.11584207584407169,0.07066666666666667,42
5y,False,40,0.7825,0.1227,-0.3642,0.2185,0.641,-0.3584953398041659,-0.11584207584407169,0.07066666666666667,44
5y,False,41,0.746,0.1181,-0.3642,0.2193,0.621,-0.3584953398041659,-0.1339215282716837,0.088,46
5y,False,42,0.746,0.1181,-0.3642,0.2193,0.621,-0.3584953398041659,-0.1339215282716837,0.088,42
5y,False,43,0.746,0.1181,-0.3642,0.2193,0.621,-0.3584953398041659,-0.1339215282716837,0.088,40
5y,False,44,0.7573,0.1195,-0.3642,0.2196,0.626,-0.3584953398041659,-0.12832006203735302,0.08666666666666667,39
5y,False,45,0.7573,0.1195,-0.3642,0.2196,0.626,-0.3584953398041659,-0.12832006203735302,0.08666666666666667,38
5y,False,46,0.7555,0.1193,-0.3642,0.2196,0.625,-0.3584953398041659,-0.12832006203735302,0.08666666666666667,37
5y,False,47,0.7811,0.1225,-0.3642,0.2197,0.638,-0.3584953398041659,-0.11559099666672468,0.07066666666666667,35
5y,False,48,0.7811,0.1225,-0.3642,0.2197,0.638,-0.3584953398041659,-0.11559099666672468,0.07066666666666667,32
5y,False,49,0.7595,0.1198,-0.3642,0.22,0.626,-0.3584953398041659,-0.12969839663006,0.08666666666666667,30
5y,False,50,0.741,0.1174,-0.3642,0.2211,0.615,-0.3584953398041659,-0.13130369807013387,0.08666666666666667,32
2011,True,10,2.7153,0.0871,-0.2093,0.132,0.701,-0.2022391113649541,-0.07732032267871969,0.10882182240278584,37
2011,True,11,3.0077,0.0924,-0.2093,0.1344,0.727,-0.20223911136495432,-0.07732032267871969,0.10998258850841555,42
2011,True,12,3.0141,0.0925,-0.2093,0.1344,0.727,-0.20223911136495398,-0.07732032267871924,0.10998258850841555,43
2011,True,13,2.989,0.0921,-0.2093,0.1348,0.723,-0.2022391113649542,-0.07732032267871947,0.10998258850841555,45
2011,True,14,3.268,0.0968,-0.2093,0.1358,0.75,-0.2022391113649541,-0.07732032267871936,0.1073708647707487,46
2011,True,15,3.6219,0.1024,-0.2093,0.1364,0.785,-0.2022391113649541,-0.07732032267871936,0.05571677307022635,45
2011,True,16,3.6777,0.1032,-0.2093,0.1364,0.79,-0.20223911136495432,-0.07732032267871969,0.05571677307022635,47
2011,True,17,3.9361,0.107,-0.2093,0.1377,0.809,-0.2022391113649542,-0.07732032267871936,0.05571677307022635,50
2011,True,18,4.1231,0.1096,-0.2093,0.139,0.82,-0.2022391113649542,-0.07732032267871947,0.05571677307022635,53
2011,True,19,4.4466,0.114,-0.2093,0.1396,0.845,-0.2022391113649542,-0.07732032267871936,0.056006964596633776,53
2011,True,20,4.5027,0.1147,-0.2093,0.1398,0.849,-0.20223911136495443,-0.07732032267871969,0.056006964596633776,56
2011,True,21,4.9206,0.1199,-0.2302,0.1429,0.866,-0.21862821168563729,-0.09627573903329567,0.05107370864770749,61
2011,True,22,5.067,0.1216,-0.2302,0.1432,0.875,-0.2186282116856375,-0.09627573903329589,0.05107370864770749,64
2011,True,23,5.0639,0.1216,-0.2302,0.1446,0.868,-0.21496411855081288,-0.09203789744507307,0.0412071967498549,68
2011,True,24,5.0821,0.1218,-0.2302,0.1447,0.869,-0.21496411855081254,-0.09203789744507296,0.040336622170632615,73
2011,True,25,4.8922,0.1195,-0.2302,0.1449,0.854,-0.21937792103736353,-0.09714284293947861,0.04236796285548462,74
2011,True,26,5.7431,0.1292,-0.2302,0.1471,0.902,-0.21937792103736364,-0.07166070296066551,0.025827045850261174,81
2011,True,27,5.8616,0.1305,-0.2302,0.1476,0.907,-0.21937792103736387,-0.04175141488451861,0.017701683110853163,88
2011,True,28,6.1939,0.1339,-0.2302,0.1496,0.917,-0.21937792103736387,-0.041751414884518834,0.017991874637260593,91
2011,True,29,6.1398,0.1333,-0.2302,0.1504,0.91,-0.21937792103736375,-0.04941519324896593,0.01857225769007545,90
2011,True,30,6.3058,0.135,-0.2302,0.1505,0.919,-0.21937792103736353,-0.04817096084743655,0.01857225769007545,87
2011,True,31,6.395,0.1359,-0.2302,0.1506,0.924,-0.21937792103736387,-0.04817096084743644,0.01654091700522345,86
2011,True,32,6.1456,0.1334,-0.2394,0.1509,0.907,-0.23261084588739445,-0.04817096084743666,0.022925130586186882,88
2011,True,33,6.096,0.1329,-0.2394,0.151,0.904,-0.23261084588739445,-0.04817096084743666,0.022344747533372025,87
2011,True,34,5.8795,0.1306,-0.2394,0.1513,0.89,-0.23261084588739456,-0.04806682264370932,0.024666279744631456,90
2011,True,35,5.7173,0.1289,-0.2394,0.1521,0.875,-0.23261084588739456,-0.048066822643709095,0.03221125943122461,87
2011,True,36,6.1315,0.1332,-0.2394,0.1528,0.897,-0.23261084588739445,-0.04806682264370943,0.021474172954149738,96
2011,True,37,6.4895,0.1368,-0.2394,0.1531,0.916,-0.23261084588739445,-0.04806682264370954,0.019733023795705164,101
2011,True,38,6.6714,0.1385,-0.2394,0.1543,0.92,-0.23261084588739456,-0.04806682264370932,0.014219384793964016,103
2011,True,39,6.6553,0.1384,-0.2394,0.1544,0.919,-0.23261084588739445,-0.04806682264370943,0.014219384793964016,115
2011,True,40,6.6287,0.1381,-0.2394,0.1546,0.916,-0.23261084588739445,-0.04806682264370932,0.014509576320371444,121
2011,True,41,6.5085,0.137,-0.2394,0.1565,0.901,-0.23261084588739445,-0.048066822643709206,0.01567034242600116,129
2011,True,42,6.5041,0.1369,-0.2394,0.1571,0.898,-0.23261084588739445,-0.04806682264370954,0.01567034242600116,124
2011,True,43,6.5179,0.137,-0.2394,0.1571,0.898,-0.23261084588739456,-0.048066822643709206,0.01567034242600116,118
2011,True,44,6.64,0.1382,-0.2394,0.1574,0.903,-0.23261084588739467,-0.05069113015416715,0.011897852582704585,116
2011,True,45,6.6327,0.1381,-0.2394,0.1585,0.898,-0.23261084588739445,-0.07212416774450581,0.011317469529889728,124
2011,True,46,6.3295,0.1352,-0.2394,0.1588,0.881,-0.23261084588739445,-0.08326939729166616,0.011607661056297156,121
2011,True,47,6.6024,0.1379,-0.2394,0.1593,0.892,-0.23261084588739456,-0.08326939729166605,0.017411491584445733,121
2011,True,48,6.5486,0.1373,-0.2394,0.1594,0.889,-0.23261084588739434,-0.08382665573733827,0.017411491584445733,117
2011,True,49,6.4925,0.1368,-0.2394,0.1596,0.885,-0.23261084588739445,-0.0840234147082104,0.022054556006964595,112
2011,True,50,6.4972,0.1368,-0.2394,0.1601,0.883,-0.23261084588739467,-0.08402341470821051,0.022054556006964595,112
2011,False,10,3.0902,0.0938,-0.3233,0.1728,0.607,-0.31717352493720585,-0.21025194309119843,0.10504933255948927,37
2011,False,11,3.4795,0.1002,-0.3233,0.1748,0.635,-0.31717352493720574,-0.21025194309119832,0.1033081834010447,42
2011,False,12,3.4867,0.1003,-0.3233,0.1748,0.636,-0.31717352493720563,-0.2102519430911982,0.1033081834010447,43
2011,False,13,3.4541,0.0998,-0.323,0.1751,0.632,-0.3169018965411017,-0.20993778128602691,0.1033081834010447,45
2011,False,14,3.7511,0.1043,-0.3251,0.176,0.653,-0.31898782351684807,-0.21235033679772986,0.1044689495066744,46
2011,False,15,4.1435,0.1099,-0.325,0.1764,0.681,-0.31893077900918854,-0.2122843598757349,0.10388856645385955,45
2011,False,16,4.2057,0.1107,-0.325,0.1765,0.685,-0.31893077900918887,-0.2122843598757348,0.10388856645385955,47
2011,False,17,4.5041,0.1147,-0.3236,0.178,0.701,-0.3175438952052594,-0.21068030843761398,0.10359837492745212,50
2011,False,18,4.6375,0.1164,-0.3325,0.1791,0.706,-0.3265204410041156,-0.22106246241274752,0.1065002901915264,53
2011,False,19,4.988,0.1207,-0.3331,0.1804,0.724,-0.3271254083968208,-0.22176215968625768,0.1073708647707487,53
2011,False,20,5.1118,0.1222,-0.3263,0.1806,0.73,-0.32021835998356407,-0.21377355897647599,0.10591990713871155,56
2011,False,21,5.1749,0.1229,-0.3565,0.1826,0.728,-0.3468064529412631,-0.244524995127692,0.10591990713871155,61
2011,False,22,5.3275,0.1246,-0.3565,0.1828,0.736,-0.3468064529412631,-0.2445249951276922,0.10591990713871155,64
2011,False,23,5.3238,0.1246,-0.3565,0.1839,0.732,-0.34374342708432415,-0.24098233999183682,0.10156703424260012,68
