ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
80,0.0,0.5,31,1.7706,0.2268,-0.3458,0.2643,0.973
80,0.0,0.75,28,1.7563,0.2255,-0.3768,0.2858,0.916
80,0.0,0.75,29,1.7673,0.2265,-0.3768,0.2859,0.919
80,0.0,0.75,30,1.7793,0.2276,-0.3768,0.286,0.922
80,0.0,0.75,31,1.8061,0.2299,-0.3768,0.286,0.929
80,0.02,0.0,28,1.6958,0.2201,-0.2983,0.2515,0.986
80,0.02,0.0,29,1.7066,0.221,-0.2983,0.2516,0.989
80,0.02,0.0,30,1.7183,0.2221,-0.2983,0.2517,0.993
80,0.02,0.0,31,1.7442,0.2244,-0.2983,0.2517,1.001
80,0.02,0.25,28,1.7283,0.223,-0.3185,0.2555,0.985
80,0.02,0.25,29,1.7392,0.224,-0.3185,0.2556,0.988
80,0.02,0.25,30,1.7511,0.2251,-0.3185,0.2557,0.991
80,0.02,0.25,31,1.7774,0.2274,-0.3185,0.2558,0.999
80,0.02,0.5,28,1.7543,0.2253,-0.348,0.2676,0.96
80,0.02,0.5,29,1.7653,0.2263,-0.348,0.2676,0.963
80,0.02,0.5,30,1.7773,0.2274,-0.348,0.2677,0.966
80,0.02,0.5,31,1.8038,0.2297,-0.348,0.2678,0.973
80,0.02,0.75,28,1.774,0.2271,-0.3779,0.2878,0.916
80,0.02,0.75,29,1.7851,0.2281,-0.3779,0.2878,0.919
80,0.02,0.75,30,1.7972,0.2291,-0.3779,0.2879,0.922
80,0.02,0.75,31,1.8239,0.2315,-0.3779,0.288,0.929
80,0.03,0.0,28,2.0301,0.249,-0.2983,0.2538,1.08
80,0.03,0.0,29,2.0423,0.25,-0.2983,0.2539,1.083
80,0.03,0.0,30,2.0555,0.2511,-0.2983,0.254,1.086
80,0.03,0.0,31,2.0828,0.2533,-0.2983,0.2541,1.094
80,0.03,0.25,28,2.0157,0.2478,-0.2987,0.2578,1.063
80,0.03,0.25,29,2.0278,0.2488,-0.2987,0.2579,1.066
80,0.03,0.25,30,2.041,0.2499,-0.2987,0.2579,1.069
80,0.03,0.25,31,2.0682,0.2522,-0.2987,0.258,1.077
80,0.03,0.5,28,1.9952,0.2461,-0.3355,0.2699,1.021
80,0.03,0.5,29,2.0072,0.2471,-0.3355,0.27,1.024
80,0.03,0.5,30,2.0203,0.2482,-0.3355,0.2701,1.028
80,0.03,0.5,31,2.0473,0.2504,-0.3355,0.2702,1.034
80,0.03,0.75,28,1.9683,0.2439,-0.3719,0.2903,0.962
80,0.03,0.75,29,1.9802,0.2449,-0.3719,0.2904,0.965
80,0.03,0.75,30,1.9932,0.2459,-0.3719,0.2904,0.968
80,0.03,0.75,31,2.02,0.2482,-0.3719,0.2905,0.974
80,0.05,0.0,28,2.0835,0.2534,-0.2983,0.2544,1.093
80,0.05,0.0,29,2.0958,0.2544,-0.2983,0.2545,1.096
80,0.05,0.0,30,2.1093,0.2555,-0.2983,0.2546,1.099
80,0.05,0.0,31,2.1371,0.2577,-0.2983,0.2547,1.106
80,0.05,0.25,28,2.0526,0.2509,-0.2987,0.2584,1.071
80,0.05,0.25,29,2.0649,0.2519,-0.2987,0.2585,1.074
80,0.05,0.25,30,2.0782,0.253,-0.2987,0.2586,1.078
80,0.05,0.25,31,2.1057,0.2552,-0.2987,0.2586,1.085
80,0.05,0.5,28,2.0176,0.248,-0.3355,0.2704,1.026
80,0.05,0.5,29,2.0297,0.249,-0.3355,0.2705,1.029
80,0.05,0.5,30,2.0428,0.2501,-0.3355,0.2706,1.032
80,0.05,0.5,31,2.0701,0.2523,-0.3355,0.2707,1.039
80,0.05,0.75,28,1.9783,0.2447,-0.3719,0.2906,0.964
80,0.05,0.75,29,1.9903,0.2457,-0.3719,0.2907,0.966
80,0.05,0.75,30,2.0033,0.2468,-0.3719,0.2908,0.969
80,0.05,0.75,31,2.0302,0.249,-0.3719,0.2908,0.976
100,0.0,0.0,28,1.6256,0.2136,-0.312,0.2569,0.948
100,0.0,0.0,29,1.6362,0.2146,-0.312,0.257,0.951
100,0.0,0.0,30,1.6476,0.2157,-0.312,0.257,0.955
100,0.0,0.0,31,1.6731,0.218,-0.312,0.2571,0.963
100,0.0,0.25,28,1.6772,0.2184,-0.3113,0.2605,0.955
100,0.0,0.25,29,1.688,0.2194,-0.3113,0.2606,0.958
100,0.0,0.25,30,1.6997,0.2204,-0.3113,0.2607,0.962
100,0.0,0.25,31,1.7257,0.2228,-0.3113,0.2607,0.969
100,0.0,0.5,28,1.7126,0.2216,-0.3415,0.2715,0.937
100,0.0,0.5,29,1.7235,0.2226,-0.3415,0.2716,0.94
100,0.0,0.5,30,1.7354,0.2236,-0.3415,0.2716,0.944
100,0.0,0.5,31,1.7617,0.226,-0.3415,0.2717,0.951
100,0.0,0.75,28,1.7416,0.2242,-0.3748,0.2899,0.903
100,0.0,0.75,29,1.7526,0.2252,-0.3748,0.29,0.906
100,0.0,0.75,30,1.7645,0.2263,-0.3748,0.2901,0.909
100,0.0,0.75,31,1.7912,0.2286,-0.3748,0.2902,0.916
100,0.02,0.0,28,1.2586,0.1775,-0.4277,0.2669,0.8
100,0.02,0.0,29,1.2677,0.1785,-0.4277,0.267,0.803
100,0.02,0.0,30,1.2775,0.1795,-0.4277,0.2671,0.806
100,0.02,0.0,31,1.2992,0.1817,-0.4277,0.2671,0.814
100,0.02,0.25,28,1.3989,0.1919,-0.3999,0.2702,0.842
100,0.02,0.25,29,1.4086,0.1928,-0.3999,0.2703,0.845
100,0.02,0.25,30,1.419,0.1938,-0.3999,0.2704,0.848
100,0.02,0.25,31,1.4421,0.1961,-0.3999,0.2705,0.856
100,0.02,0.5,28,1.5263,0.2043,-0.4025,0.2798,0.863
100,0.02,0.5,29,1.5365,0.2053,-0.4025,0.2799,0.866
100,0.02,0.5,30,1.5475,0.2063,-0.4025,0.28,0.869
100,0.02,0.5,31,1.5718,0.2086,-0.4025,0.28,0.876
100,0.02,0.75,28,1.6535,0.2162,-0.4053,0.2952,0.868
100,0.02,0.75,29,1.6641,0.2172,-0.4053,0.2953,0.871
100,0.02,0.75,30,1.6757,0.2182,-0.4053,0.2954,0.874
100,0.02,0.75,31,1.7012,0.2206,-0.4053,0.2954,0.881
100,0.03,0.0,28,1.3231,0.1842,-0.4268,0.2681,0.82
100,0.03,0.0,29,1.3324,0.1852,-0.4268,0.2682,0.823
100,0.03,0.0,30,1.3426,0.1862,-0.4268,0.2683,0.827
100,0.03,0.0,31,1.3635,0.1883,-0.4268,0.2684,0.834
100,0.03,0.25,28,1.4731,0.1992,-0.3992,0.2715,0.864
100,0.03,0.25,29,1.483,0.2001,-0.3992,0.2716,0.867
100,0.03,0.25,30,1.4938,0.2012,-0.3992,0.2716,0.87
100,0.03,0.25,31,1.5161,0.2033,-0.3992,0.2717,0.877
100,0.03,0.5,28,1.6255,0.2136,-0.402,0.2814,0.889
100,0.03,0.5,29,1.636,0.2146,-0.402,0.2814,0.892
100,0.03,0.5,30,1.6475,0.2157,-0.402,0.2815,0.895
100,0.03,0.5,31,1.6712,0.2178,-0.402,0.2816,0.902
100,0.03,0.75,28,1.7797,0.2276,-0.4051,0.2973,0.898
100,0.03,0.75,29,1.7908,0.2286,-0.4051,0.2974,0.901
100,0.03,0.75,30,1.8029,0.2296,-0.4051,0.2975,0.904
100,0.03,0.75,31,1.828,0.2318,-0.4051,0.2975,0.91
100,0.05,0.0,28,1.5231,0.204,-0.4268,0.2693,0.885
100,0.05,0.0,29,1.5332,0.2049,-0.4268,0.2694,0.888
100,0.05,0.0,30,1.5442,0.206,-0.4268,0.2695,0.891
100,0.05,0.0,31,1.567,0.2082,-0.4268,0.2696,0.898
100,0.05,0.25,28,1.6299,0.214,-0.3992,0.2726,0.911
100,0.05,0.25,29,1.6405,0.215,-0.3992,0.2726,0.914
100,0.05,0.25,30,1.6519,0.2161,-0.3992,0.2727,0.917
100,0.05,0.25,31,1.6757,0.2182,-0.3992,0.2728,0.924
100,0.05,0.5,28,1.7345,0.2236,-0.402,0.2822,0.919
100,0.05,0.5,29,1.7455,0.2246,-0.402,0.2823,0.922
100,0.05,0.5,30,1.7574,0.2256,-0.402,0.2824,0.925
100,0.05,0.5,31,1.7821,0.2278,-0.402,0.2824,0.932
100,0.05,0.75,28,1.8364,0.2326,-0.4051,0.2978,0.912
100,0.05,0.75,29,1.8478,0.2336,-0.4051,0.2978,0.915
