initial_allocation,buy_step,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.305,0.0,1.2334,0.139,-0.2083,0.1387,1.012
0.305,0.0025,1.2339,0.139,-0.2083,0.1387,1.012
0.305,0.005,1.2343,0.1391,-0.2083,0.1387,1.012
0.305,0.0075,1.2347,0.1391,-0.2083,0.1387,1.012
0.305,0.01,1.2352,0.1391,-0.2083,0.1387,1.012
0.305,0.0125,1.2356,0.1392,-0.2083,0.1387,1.012
0.305,0.015,1.236,0.1392,-0.2083,0.1387,1.013
0.305,0.0175,1.2365,0.1393,-0.2083,0.1387,1.013
0.305,0.02,1.2369,0.1393,-0.2083,0.1387,1.013
0.305,0.0225,1.2373,0.1393,-0.2083,0.1387,1.013
0.305,0.025,1.2377,0.1394,-0.2083,0.1387,1.013
0.305,0.0275,1.2382,0.1394,-0.2083,0.1387,1.014
0.305,0.03,1.2386,0.1394,-0.2083,0.1387,1.014
0.305,0.0325,1.239,0.1395,-0.2083,0.1387,1.014
0.305,0.035,1.2394,0.1395,-0.2083,0.1388,1.014
0.305,0.0375,1.2398,0.1395,-0.2083,0.1388,1.014
0.305,0.04,1.2403,0.1396,-0.2083,0.1388,1.014
0.305,0.0425,1.2407,0.1396,-0.2083,0.1388,1.015
0.305,0.045,1.2411,0.1396,-0.2083,0.1388,1.015
0.305,0.0475,1.2415,0.1397,-0.2083,0.1388,1.015
0.305,0.05,1.2419,0.1397,-0.2083,0.1388,1.015
0.305,0.0525,1.2423,0.1397,-0.2083,0.1388,1.015
0.305,0.055,1.2428,0.1398,-0.2083,0.1388,1.015
0.305,0.0575,1.2432,0.1398,-0.2083,0.1389,1.015
0.305,0.06,1.2436,0.1398,-0.2083,0.1389,1.016
0.305,0.0625,1.244,0.1399,-0.2083,0.1389,1.016
0.305,0.065,1.2444,0.1399,-0.2083,0.1389,1.016
0.305,0.0675,1.2448,0.1399,-0.2083,0.1389,1.016
0.305,0.07,1.2452,0.14,-0.2083,0.1389,1.016
0.305,0.0725,1.2456,0.14,-0.2083,0.1389,1.016
0.305,0.075,1.246,0.14,-0.2083,0.139,1.016
0.305,0.0775,1.2465,0.1401,-0.2083,0.139,1.016
0.305,0.08,1.2469,0.1401,-0.2083,0.139,1.017
0.305,0.0825,1.2473,0.1401,-0.2083,0.139,1.017
0.305,0.085,1.2477,0.1402,-0.2083,0.139,1.017
0.305,0.0875,1.2481,0.1402,-0.2083,0.139,1.017
0.305,0.09,1.2485,0.1402,-0.2083,0.1391,1.017
0.305,0.0925,1.2489,0.1403,-0.2083,0.1391,1.017
0.305,0.095,1.2493,0.1403,-0.2083,0.1391,1.017
0.305,0.0975,1.2497,0.1403,-0.2083,0.1391,1.017
0.305,0.1,1.2501,0.1404,-0.2083,0.1391,1.017
0.3075,0.0,1.2339,0.139,-0.2083,0.1387,1.012
0.3075,0.0025,1.2343,0.1391,-0.2083,0.1387,1.012
0.3075,0.005,1.2347,0.1391,-0.2083,0.1387,1.012
0.3075,0.0075,1.2351,0.1391,-0.2083,0.1387,1.012
0.3075,0.01,1.2356,0.1392,-0.2083,0.1387,1.012
0.3075,0.0125,1.236,0.1392,-0.2083,0.1387,1.013
0.3075,0.015,1.2364,0.1392,-0.2083,0.1387,1.013
0.3075,0.0175,1.2369,0.1393,-0.2083,0.1387,1.013
0.3075,0.02,1.2373,0.1393,-0.2083,0.1387,1.013
0.3075,0.0225,1.2377,0.1394,-0.2083,0.1387,1.013
0.3075,0.025,1.2381,0.1394,-0.2083,0.1387,1.014
0.3075,0.0275,1.2386,0.1394,-0.2083,0.1387,1.014
0.3075,0.03,1.239,0.1395,-0.2083,0.1387,1.014
0.3075,0.0325,1.2394,0.1395,-0.2083,0.1387,1.014
0.3075,0.035,1.2398,0.1395,-0.2083,0.1388,1.014
0.3075,0.0375,1.2402,0.1396,-0.2083,0.1388,1.014
0.3075,0.04,1.2407,0.1396,-0.2083,0.1388,1.015
0.3075,0.0425,1.2411,0.1396,-0.2083,0.1388,1.015
0.3075,0.045,1.2415,0.1397,-0.2083,0.1388,1.015
0.3075,0.0475,1.2419,0.1397,-0.2083,0.1388,1.015
0.3075,0.05,1.2423,0.1397,-0.2083,0.1388,1.015
0.3075,0.0525,1.2428,0.1398,-0.2083,0.1388,1.015
0.3075,0.055,1.2432,0.1398,-0.2083,0.1388,1.015
0.3075,0.0575,1.2436,0.1398,-0.2083,0.1389,1.016
0.3075,0.06,1.244,0.1399,-0.2083,0.1389,1.016
0.3075,0.0625,1.2444,0.1399,-0.2083,0.1389,1.016
0.3075,0.065,1.2448,0.1399,-0.2083,0.1389,1.016
0.3075,0.0675,1.2452,0.14,-0.2083,0.1389,1.016
0.3075,0.07,1.2456,0.14,-0.2083,0.1389,1.016
0.3075,0.0725,1.246,0.14,-0.2083,0.1389,1.016
0.3075,0.075,1.2465,0.1401,-0.2083,0.139,1.016
0.3075,0.0775,1.2469,0.1401,-0.2083,0.139,1.017
0.3075,0.08,1.2473,0.1401,-0.2083,0.139,1.017
0.3075,0.0825,1.2477,0.1402,-0.2083,0.139,1.017
0.3075,0.085,1.2481,0.1402,-0.2083,0.139,1.017
0.3075,0.0875,1.2485,0.1402,-0.2083,0.139,1.017
0.3075,0.09,1.2489,0.1403,-0.2083,0.1391,1.017
0.3075,0.0925,1.2493,0.1403,-0.2083,0.1391,1.017
0.3075,0.095,1.2497,0.1403,-0.2083,0.1391,1.017
0.3075,0.0975,1.2501,0.1404,-0.2083,0.1391,1.017
0.3075,0.1,1.2505,0.1404,-0.2083,0.1391,1.017
0.31,0.0,1.2343,0.1391,-0.2083,0.1387,1.012
0.31,0.0025,1.2347,0.1391,-0.2083,0.1387,1.012
0.31,0.005,1.2351,0.1391,-0.2083,0.1387,1.012
0.31,0.0075,1.2356,0.1392,-0.2083,0.1387,1.012
0.31,0.01,1.236,0.1392,-0.2083,0.1387,1.013
0.31,0.0125,1.2364,0.1392,-0.2083,0.1387,1.013
0.31,0.015,1.2368,0.1393,-0.2083,0.1387,1.013
0.31,0.0175,1.2373,0.1393,-0.2083,0.1387,1.013
0.31,0.02,1.2377,0.1394,-0.2083,0.1387,1.013
0.31,0.0225,1.2381,0.1394,-0.2083,0.1387,1.014
0.31,0.025,1.2385,0.1394,-0.2083,0.1387,1.014
0.31,0.0275,1.239,0.1395,-0.2083,0.1387,1.014
0.31,0.03,1.2394,0.1395,-0.2083,0.1387,1.014
0.31,0.0325,1.2398,0.1395,-0.2083,0.1388,1.014
0.31,0.035,1.2402,0.1396,-0.2083,0.1388,1.014
0.31,0.0375,1.2407,0.1396,-0.2083,0.1388,1.015
0.31,0.04,1.2411,0.1396,-0.2083,0.1388,1.015
0.31,0.0425,1.2415,0.1397,-0.2083,0.1388,1.015
0.31,0.045,1.2419,0.1397,-0.2083,0.1388,1.015
0.31,0.0475,1.2423,0.1397,-0.2083,0.1388,1.015
0.31,0.05,1.2427,0.1398,-0.2083,0.1388,1.015
0.31,0.0525,1.2432,0.1398,-0.2083,0.1388,1.016
0.31,0.055,1.2436,0.1398,-0.2083,0.1388,1.016
0.31,0.0575,1.244,0.1399,-0.2083,0.1389,1.016
0.31,0.06,1.2444,0.1399,-0.2083,0.1389,1.016
0.31,0.0625,1.2448,0.1399,-0.2083,0.1389,1.016
0.31,0.065,1.2452,0.14,-0.2083,0.1389,1.016
0.31,0.0675,1.2456,0.14,-0.2083,0.1389,1.016
0.31,0.07,1.246,0.14,-0.2083,0.1389,1.016
0.31,0.0725,1.2465,0.1401,-0.2083,0.1389,1.017
0.31,0.075,1.2469,0.1401,-0.2083,0.139,1.017
0.31,0.0775,1.2473,0.1401,-0.2083,0.139,1.017
0.31,0.08,1.2477,0.1402,-0.2083,0.139,1.017
0.31,0.0825,1.2481,0.1402,-0.2083,0.139,1.017
0.31,0.085,1.2485,0.1402,-0.2083,0.139,1.017
0.31,0.0875,1.2489,0.1403,-0.2083,0.139,1.017
0.31,0.09,1.2493,0.1403,-0.2083,0.1391,1.017
0.31,0.0925,1.2497,0.1403,-0.2083,0.1391,1.017
0.31,0.095,1.2501,0.1404,-0.2083,0.1391,1.018
0.31,0.0975,1.2505,0.1404,-0.2083,0.1391,1.018
0.31,0.1,1.2509,0.1404,-0.2083,0.1391,1.018
0.3125,0.0,1.2347,0.1391,-0.2083,0.1387,1.012
0.3125,0.0025,1.2351,0.1391,-0.2083,0.1387,1.012
0.3125,0.005,1.2355,0.1392,-0.2083,0.1387,1.012
0.3125,0.0075,1.236,0.1392,-0.2083,0.1387,1.013
0.3125,0.01,1.2364,0.1392,-0.2083,0.1387,1.013
0.3125,0.0125,1.2368,0.1393,-0.2083,0.1387,1.013
0.3125,0.015,1.2372,0.1393,-0.2083,0.1387,1.013
0.3125,0.0175,1.2377,0.1394,-0.2083,0.1387,1.013
0.3125,0.02,1.2381,0.1394,-0.2083,0.1387,1.014
0.3125,0.0225,1.2385,0.1394,-0.2083,0.1387,1.014
0.3125,0.025,1.2389,0.1395,-0.2083,0.1387,1.014
0.3125,0.0275,1.2394,0.1395,-0.2083,0.1387,1.014
0.3125,0.03,1.2398,0.1395,-0.2083,0.1387,1.014
0.3125,0.0325,1.2402,0.1396,-0.2083,0.1388,1.014
0.3125,0.035,1.2406,0.1396,-0.2083,0.1388,1.015
0.3125,0.0375,1.2411,0.1396,-0.2083,0.1388,1.015
0.3125,0.04,1.2415,0.1397,-0.2083,0.1388,1.015
0.3125,0.0425,1.2419,0.1397,-0.2083,0.1388,1.015
0.3125,0.045,1.2423,0.1397,-0.2083,0.1388,1.015
0.3125,0.0475,1.2427,0.1398,-0.2083,0.1388,1.015
0.3125,0.05,1.2432,0.1398,-0.2083,0.1388,1.016
0.3125,0.0525,1.2436,0.1398,-0.2083,0.1388,1.016
0.3125,0.055,1.244,0.1399,-0.2083,0.1389,1.016
0.3125,0.0575,1.2444,0.1399,-0.2083,0.1389,1.016
0.3125,0.06,1.2448,0.1399,-0.2083,0.1389,1.016
0.3125,0.0625,1.2452,0.14,-0.2083,0.1389,1.016
0.3125,0.065,1.2456,0.14,-0.2083,0.1389,1.016
0.3125,0.0675,1.246,0.14,-0.2083,0.1389,1.017
0.3125,0.07,1.2465,0.1401,-0.2083,0.1389,1.017
0.3125,0.0725,1.2469,0.1401,-0.2083,0.1389,1.017
0.3125,0.075,1.2473,0.1401,-0.2083,0.139,1.017
0.3125,0.0775,1.2477,0.1402,-0.2083,0.139,1.017
0.3125,0.08,1.2481,0.1402,-0.2083,0.139,1.017
0.3125,0.0825,1.2485,0.1402,-0.2083,0.139,1.017
0.3125,0.085,1.2489,0.1403,-0.2083,0.139,1.017
0.3125,0.0875,1.2493,0.1403,-0.2083,0.139,1.017
0.3125,0.09,1.2497,0.1403,-0.2083,0.1391,1.018
0.3125,0.0925,1.2501,0.1404,-0.2083,0.1391,1.018
0.3125,0.095,1.2505,0.1404,-0.2083,0.1391,1.018
0.3125,0.0975,1.2509,0.1404,-0.2083,0.1391,1.018
0.3125,0.1,1.2513,0.1405,-0.2083,0.1391,1.018
0.315,0.0,1.2351,0.1391,-0.2083,0.1387,1.012
0.315,0.0025,1.2355,0.1392,-0.2083,0.1387,1.012
0.315,0.005,1.2359,0.1392,-0.2083,0.1387,1.013
0.315,0.0075,1.2364,0.1392,-0.2083,0.1387,1.013
0.315,0.01,1.2368,0.1393,-0.2083,0.1387,1.013
0.315,0.0125,1.2372,0.1393,-0.2083,0.1387,1.013
0.315,0.015,1.2377,0.1393,-0.2083,0.1387,1.013
0.315,0.0175,1.2381,0.1394,-0.2083,0.1387,1.014
0.315,0.02,1.2385,0.1394,-0.2083,0.1387,1.014
0.315,0.0225,1.2389,0.1395,-0.2083,0.1387,1.014
0.315,0.025,1.2394,0.1395,-0.2083,0.1387,1.014
0.315,0.0275,1.2398,0.1395,-0.2083,0.1387,1.014
0.315,0.03,1.2402,0.1396,-0.2083,0.1388,1.015
0.315,0.0325,1.2406,0.1396,-0.2083,0.1388,1.015
0.315,0.035,1.241,0.1396,-0.2083,0.1388,1.015
0.315,0.0375,1.2415,0.1397,-0.2083,0.1388,1.015
0.315,0.04,1.2419,0.1397,-0.2083,0.1388,1.015
0.315,0.0425,1.2423,0.1397,-0.2083,0.1388,1.015
0.315,0.045,1.2427,0.1398,-0.2083,0.1388,1.015
0.315,0.0475,1.2431,0.1398,-0.2083,0.1388,1.016
0.315,0.05,1.2436,0.1398,-0.2083,0.1388,1.016
0.315,0.0525,1.244,0.1399,-0.2083,0.1388,1.016
0.315,0.055,1.2444,0.1399,-0.2083,0.1389,1.016
0.315,0.0575,1.2448,0.1399,-0.2083,0.1389,1.016
0.315,0.06,1.2452,0.14,-0.2083,0.1389,1.016
0.315,0.0625,1.2456,0.14,-0.2083,0.1389,1.016
0.315,0.065,1.246,0.14,-0.2083,0.1389,1.017
0.315,0.0675,1.2465,0.1401,-0.2083,0.1389,1.017
0.315,0.07,1.2469,0.1401,-0.2083,0.1389,1.017
0.315,0.0725,1.2473,0.1401,-0.2083,0.139,1.017
0.315,0.075,1.2477,0.1402,-0.2083,0.139,1.017
0.315,0.0775,1.2481,0.1402,-0.2083,0.139,1.017
0.315,0.08,1.2485,0.1402,-0.2083,0.139,1.017
0.315,0.0825,1.2489,0.1403,-0.2083,0.139,1.017
0.315,0.085,1.2493,0.1403,-0.2083,0.139,1.017
0.315,0.0875,1.2497,0.1403,-0.2083,0.139,1.018
0.315,0.09,1.2501,0.1404,-0.2083,0.1391,1.018
0.315,0.0925,1.2505,0.1404,-0.2083,0.1391,1.018
0.315,0.095,1.2509,0.1404,-0.2083,0.1391,1.018
0.315,0.0975,1.2513,0.1405,-0.2083,0.1391,1.018
0.315,0.1,1.2517,0.1405,-0.2083,0.1391,1.018
0.3175,0.0,1.2355,0.1392,-0.2083,0.1387,1.012
0.3175,0.0025,1.2359,0.1392,-0.2083,0.1387,1.013
0.3175,0.005,1.2363,0.1392,-0.2083,0.1387,1.013
0.3175,0.0075,1.2368,0.1393,-0.2083,0.1387,1.013
0.3175,0.01,1.2372,0.1393,-0.2083,0.1387,1.013
0.3175,0.0125,1.2376,0.1393,-0.2083,0.1387,1.013
0.3175,0.015,1.2381,0.1394,-0.2083,0.1387,1.014
0.3175,0.0175,1.2385,0.1394,-0.2083,0.1387,1.014
0.3175,0.02,1.2389,0.1395,-0.2083,0.1387,1.014
0.3175,0.0225,1.2393,0.1395,-0.2083,0.1387,1.014
0.3175,0.025,1.2398,0.1395,-0.2083,0.1387,1.014
0.3175,0.0275,1.2402,0.1396,-0.2083,0.1387,1.015
0.3175,0.03,1.2406,0.1396,-0.2083,0.1388,1.015
0.3175,0.0325,1.241,0.1396,-0.2083,0.1388,1.015
0.3175,0.035,1.2415,0.1397,-0.2083,0.1388,1.015
0.3175,0.0375,1.2419,0.1397,-0.2083,0.1388,1.015
0.3175,0.04,1.2423,0.1397,-0.2083,0.1388,1.015
0.3175,0.0425,1.2427,0.1398,-0.2083,0.1388,1.016
0.3175,0.045,1.2431,0.1398,-0.2083,0.1388,1.016
0.3175,0.0475,1.2436,0.1398,-0.2083,0.1388,1.016
0.3175,0.05,1.244,0.1399,-0.2083,0.1388,1.016
0.3175,0.0525,1.2444,0.1399,-0.2083,0.1388,1.016
0.3175,0.055,1.2448,0.1399,-0.2083,0.1389,1.016
0.3175,0.0575,1.2452,0.14,-0.2083,0.1389,1.016
0.3175,0.06,1.2456,0.14,-0.2083,0.1389,1.017
0.3175,0.0625,1.246,0.14,-0.2083,0.1389,1.017
0.3175,0.065,1.2465,0.1401,-0.2083,0.1389,1.017
0.3175,0.0675,1.2469,0.1401,-0.2083,0.1389,1.017
0.3175,0.07,1.2473,0.1401,-0.2083,0.1389,1.017
0.3175,0.0725,1.2477,0.1402,-0.2083,0.139,1.017
0.3175,0.075,1.2481,0.1402,-0.2083,0.139,1.017
0.3175,0.0775,1.2485,0.1402,-0.2083,0.139,1.017
0.3175,0.08,1.2489,0.1403,-0.2083,0.139,1.017
0.3175,0.0825,1.2493,0.1403,-0.2083,0.139,1.018
0.3175,0.085,1.2497,0.1403,-0.2083,0.139,1.018
0.3175,0.0875,1.2501,0.1404,-0.2083,0.1391,1.018
0.3175,0.09,1.2505,0.1404,-0.2083,0.1391,1.018
0.3175,0.0925,1.2509,0.1404,-0.2083,0.1391,1.018
0.3175,0.095,1.2513,0.1405,-0.2083,0.1391,1.018
0.3175,0.0975,1.2517,0.1405,-0.2083,0.1391,1.018
0.3175,0.1,1.2521,0.1405,-0.2083,0.1391,1.018
0.32,0.0,1.2359,0.1392,-0.2083,0.1387,1.013
0.32,0.0025,1.2363,0.1392,-0.2083,0.1387,1.013
0.32,0.005,1.2367,0.1393,-0.2083,0.1387,1.013
0.32,0.0075,1.2372,0.1393,-0.2083,0.1387,1.013
0.32,0.01,1.2376,0.1393,-0.2083,0.1387,1.013
0.32,0.0125,1.238,0.1394,-0.2083,0.1387,1.014
0.32,0.015,1.2385,0.1394,-0.2083,0.1387,1.014
0.32,0.0175,1.2389,0.1395,-0.2083,0.1387,1.014
0.32,0.02,1.2393,0.1395,-0.2083,0.1387,1.014
0.32,0.0225,1.2397,0.1395,-0.2083,0.1387,1.014
0.32,0.025,1.2402,0.1396,-0.2083,0.1387,1.015
0.32,0.0275,1.2406,0.1396,-0.2083,0.1387,1.015
0.32,0.03,1.241,0.1396,-0.2083,0.1388,1.015
0.32,0.0325,1.2414,0.1397,-0.2083,0.1388,1.015
0.32,0.035,1.2419,0.1397,-0.2083,0.1388,1.015
0.32,0.0375,1.2423,0.1397,-0.2083,0.1388,1.015
0.32,0.04,1.2427,0.1398,-0.2083,0.1388,1.016
0.32,0.0425,1.2431,0.1398,-0.2083,0.1388,1.016
0.32,0.045,1.2435,0.1398,-0.2083,0.1388,1.016
0.32,0.0475,1.244,0.1399,-0.2083,0.1388,1.016
0.32,0.05,1.2444,0.1399,-0.2083,0.1388,1.016
0.32,0.0525,1.2448,0.1399,-0.2083,0.1388,1.016
0.32,0.055,1.2452,0.14,-0.2083,0.1389,1.016
0.32,0.0575,1.2456,0.14,-0.2083,0.1389,1.017
0.32,0.06,1.246,0.14,-0.2083,0.1389,1.017
0.32,0.0625,1.2464,0.1401,-0.2083,0.1389,1.017
0.32,0.065,1.2469,0.1401,-0.2083,0.1389,1.017
0.32,0.0675,1.2473,0.1401,-0.2083,0.1389,1.017
0.32,0.07,1.2477,0.1402,-0.2083,0.1389,1.017
0.32,0.0725,1.2481,0.1402,-0.2083,0.139,1.017
0.32,0.075,1.2485,0.1402,-0.2083,0.139,1.017
0.32,0.0775,1.2489,0.1403,-0.2083,0.139,1.018
0.32,0.08,1.2493,0.1403,-0.2083,0.139,1.018
0.32,0.0825,1.2497,0.1403,-0.2083,0.139,1.018
0.32,0.085,1.2501,0.1404,-0.2083,0.139,1.018
0.32,0.0875,1.2505,0.1404,-0.2083,0.1391,1.018
0.32,0.09,1.2509,0.1404,-0.2083,0.1391,1.018
0.32,0.0925,1.2513,0.1405,-0.2083,0.1391,1.018
0.32,0.095,1.2517,0.1405,-0.2083,0.1391,1.018
0.32,0.0975,1.2521,0.1405,-0.2083,0.1391,1.018
0.32,0.1,1.2525,0.1406,-0.2083,0.1391,1.018
0.3225,0.0,1.2363,0.1392,-0.2083,0.1387,1.013
0.3225,0.0025,1.2367,0.1393,-0.2083,0.1387,1.013
0.3225,0.005,1.2372,0.1393,-0.2083,0.1387,1.013
0.3225,0.0075,1.2376,0.1393,-0.2083,0.1387,1.013
0.3225,0.01,1.238,0.1394,-0.2083,0.1387,1.014
0.3225,0.0125,1.2384,0.1394,-0.2083,0.1387,1.014
0.3225,0.015,1.2389,0.1395,-0.2083,0.1387,1.014
0.3225,0.0175,1.2393,0.1395,-0.2083,0.1387,1.014
0.3225,0.02,1.2397,0.1395,-0.2083,0.1387,1.014
0.3225,0.0225,1.2402,0.1396,-0.2083,0.1387,1.015
0.3225,0.025,1.2406,0.1396,-0.2083,0.1387,1.015
0.3225,0.0275,1.241,0.1396,-0.2083,0.1388,1.015
0.3225,0.03,1.2414,0.1397,-0.2083,0.1388,1.015
0.3225,0.0325,1.2418,0.1397,-0.2083,0.1388,1.015
0.3225,0.035,1.2423,0.1397,-0.2083,0.1388,1.015
0.3225,0.0375,1.2427,0.1398,-0.2083,0.1388,1.016
0.3225,0.04,1.2431,0.1398,-0.2083,0.1388,1.016
0.3225,0.0425,1.2435,0.1398,-0.2083,0.1388,1.016
0.3225,0.045,1.2439,0.1399,-0.2083,0.1388,1.016
