initial_allocation,buy_step,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.3225,0.0475,1.2444,0.1399,-0.2083,0.1388,1.016
0.3225,0.05,1.2448,0.1399,-0.2083,0.1388,1.016
0.3225,0.0525,1.2452,0.14,-0.2083,0.1389,1.016
0.3225,0.055,1.2456,0.14,-0.2083,0.1389,1.017
0.3225,0.0575,1.246,0.14,-0.2083,0.1389,1.017
0.3225,0.06,1.2464,0.1401,-0.2083,0.1389,1.017
0.3225,0.0625,1.2469,0.1401,-0.2083,0.1389,1.017
0.3225,0.065,1.2473,0.1401,-0.2083,0.1389,1.017
0.3225,0.0675,1.2477,0.1402,-0.2083,0.1389,1.017
0.3225,0.07,1.2481,0.1402,-0.2083,0.1389,1.017
0.3225,0.0725,1.2485,0.1402,-0.2083,0.139,1.018
0.3225,0.075,1.2489,0.1403,-0.2083,0.139,1.018
0.3225,0.0775,1.2493,0.1403,-0.2083,0.139,1.018
0.3225,0.08,1.2497,0.1403,-0.2083,0.139,1.018
0.3225,0.0825,1.2501,0.1404,-0.2083,0.139,1.018
0.3225,0.085,1.2505,0.1404,-0.2083,0.139,1.018
0.3225,0.0875,1.2509,0.1404,-0.2083,0.1391,1.018
0.3225,0.09,1.2513,0.1405,-0.2083,0.1391,1.018
0.3225,0.0925,1.2517,0.1405,-0.2083,0.1391,1.018
0.3225,0.095,1.2521,0.1405,-0.2083,0.1391,1.018
0.3225,0.0975,1.2525,0.1406,-0.2083,0.1391,1.019
0.3225,0.1,1.253,0.1406,-0.2083,0.1392,1.019
0.325,0.0,1.2367,0.1393,-0.2083,0.1387,1.013
