sample,resell,crash,crash_buy,sell,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
5y,75,40,0.5,0.5,0.7867,0.1232,-0.3536,0.2161,0.648
5y,80,10,1.0,1.0,0.4379,0.0754,-0.364,0.2088,0.454
5y,80,10,0.5,0.5,0.5656,0.0939,-0.3585,0.2119,0.531
5y,80,15,1.0,1.0,0.4379,0.0754,-0.364,0.2088,0.454
5y,80,15,0.5,0.5,0.5656,0.0939,-0.3585,0.2119,0.531
5y,80,20,1.0,1.0,0.4924,0.0835,-0.364,0.2101,0.488
5y,80,20,0.5,0.5,0.6044,0.0993,-0.364,0.2134,0.552
5y,80,25,1.0,1.0,0.8394,0.1298,-0.364,0.2159,0.675
5y,80,25,0.5,0.5,0.8023,0.1252,-0.364,0.2183,0.652
5y,80,30,1.0,1.0,0.9674,0.1451,-0.364,0.2192,0.73
5y,80,30,0.5,0.5,0.851,0.1312,-0.364,0.2197,0.673
5y,80,35,1.0,1.0,0.9299,0.1407,-0.364,0.2195,0.712
5y,80,35,0.5,0.5,0.8814,0.1349,-0.364,0.2203,0.687
5y,80,40,1.0,1.0,0.9228,0.1399,-0.364,0.2196,0.708
5y,80,40,0.5,0.5,0.8817,0.135,-0.364,0.2206,0.687
5y,85,10,1.0,1.0,0.8219,0.1276,-0.364,0.2278,0.643
5y,85,10,0.5,0.5,0.7839,0.1229,-0.3585,0.2268,0.627
5y,85,15,1.0,1.0,0.8219,0.1276,-0.364,0.2278,0.643
5y,85,15,0.5,0.5,0.7839,0.1229,-0.3585,0.2268,0.627
5y,85,20,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,85,20,0.5,0.5,0.8151,0.1268,-0.364,0.2277,0.64
5y,85,25,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,85,25,0.5,0.5,0.8256,0.1281,-0.364,0.2278,0.645
5y,85,30,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,85,30,0.5,0.5,0.8264,0.1282,-0.364,0.2278,0.646
5y,85,35,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
