sample,setting,candidate,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022
2011,원래,D,급락 100%,3.4347,0.0995,-0.2718,0.1685,0.648,-0.05133279566139248
2011,원래,D,급락 50% 매일반복,3.1002,0.094,-0.2718,0.1643,0.63,-0.034553787783857204
2011,원래,D,급락 50% 국면당1회,1.8897,0.0699,-0.2303,0.1203,0.623,-0.024432325897131513
2011,원래,E,급락 100%,3.3685,0.0984,-0.2718,0.1688,0.642,-0.060996069587649915
2011,원래,E,급락 50% 매일반복,3.0241,0.0927,-0.2718,0.1651,0.621,-0.04434068191282725
2011,원래,E,급락 50% 국면당1회,2.2957,0.0789,-0.2519,0.1335,0.637,-0.04838812413358107
2011,원래,F,급락 100%,3.4228,0.0993,-0.2718,0.1685,0.647,-0.051332795661392594
2011,원래,F,급락 50% 매일반복,3.0892,0.0938,-0.2718,0.1643,0.629,-0.03455378778385765
2011,원래,F,급락 50% 국면당1회,1.882,0.0697,-0.2303,0.1203,0.622,-0.024432325897131513
2011,원래,G,급락 100%,3.3526,0.0982,-0.2718,0.1687,0.641,-0.06099606958765025
2011,원래,G,급락 50% 매일반복,3.0095,0.0924,-0.2718,0.165,0.62,-0.04434068191282736
2011,원래,G,급락 50% 국면당1회,2.2837,0.0786,-0.2519,0.1335,0.635,-0.048388124133580956
2011,원래,H,급락 100%,5.7751,0.1295,-0.364,0.1928,0.73,-0.36395279909120204
2011,원래,H,급락 50% 매일반복,5.3867,0.1253,-0.364,0.1904,0.717,-0.36395279909120204
2011,원래,H,급락 50% 국면당1회,3.8905,0.1063,-0.364,0.1728,0.673,-0.36395279909120215
2011,원래,I,급락 100%,7.0529,0.142,-0.364,0.1942,0.783,-0.36395279909120204
2011,원래,I,급락 50% 매일반복,6.7634,0.1394,-0.364,0.1929,0.775,-0.36395279909120215
2011,원래,I,급락 50% 국면당1회,5.2521,0.1238,-0.364,0.1785,0.745,-0.36395279909120204
2011,추천,A,급락 100%,6.3716,0.1356,-0.2302,0.1518,0.916,-0.21937792103736375
2011,추천,A,급락 50% 매일반복,5.926,0.1311,-0.2295,0.1499,0.899,-0.21949234486740232
2011,추천,A,급락 50% 국면당1회,5.1106,0.1221,-0.2273,0.1425,0.882,-0.22037142866426973
2011,추천,B,급락 100%,6.336,0.1353,-0.2302,0.1505,0.921,-0.21937792103736364
2011,추천,B,급락 50% 매일반복,5.7929,0.1297,-0.2295,0.1479,0.901,-0.2194923448674022
2011,추천,B,급락 50% 국면당1회,4.2308,0.1111,-0.2192,0.1362,0.844,-0.21220052390347044
2011,추천,C,급락 100%,6.3509,0.1354,-0.2302,0.1505,0.921,-0.21937792103736398
2011,추천,C,급락 50% 매일반복,5.8067,0.1299,-0.2295,0.1479,0.902,-0.2194923448674022
2011,추천,C,급락 50% 국면당1회,4.2414,0.1112,-0.2192,0.1362,0.845,-0.21220052390347033
2011,추천,D,급락 100%,6.3256,0.1352,-0.2302,0.1505,0.92,-0.21937792103736375
2011,추천,D,급락 50% 매일반복,5.79,0.1297,-0.2295,0.1478,0.901,-0.2194923448674021
2011,추천,D,급락 50% 국면당1회,4.2288,0.1111,-0.2192,0.1361,0.844,-0.21220052390347044
2011,추천,E,급락 100%,6.3446,0.1354,-0.2302,0.1514,0.917,-0.21937792103736387
2011,추천,E,급락 50% 매일반복,6.0058,0.1319,-0.2299,0.1495,0.906,-0.219931008894792
2011,추천,E,급락 50% 국면당1회,5.0066,0.1209,-0.2231,0.1411,0.882,-0.21608164783323092
2011,추천,F,급락 100%,6.3058,0.135,-0.2302,0.1505,0.919,-0.21937792103736353
2011,추천,F,급락 50% 매일반복,5.7717,0.1295,-0.2295,0.1478,0.9,-0.2194923448674021
2011,추천,F,급락 50% 국면당1회,4.2148,0.1109,-0.2192,0.1361,0.843,-0.21220052390347022
2011,추천,G,급락 100%,6.3178,0.1351,-0.2302,0.1513,0.915,-0.2193779210373641
2011,추천,G,급락 50% 매일반복,5.9803,0.1317,-0.2299,0.1495,0.905,-0.21993100889479167
2011,추천,G,급락 50% 국면당1회,4.9847,0.1207,-0.2231,0.1411,0.88,-0.21608164783323092
2011,추천,H/I,급락 100%,6.395,0.1359,-0.2302,0.1506,0.924,-0.21937792103736387
2011,추천,H/I,급락 50% 매일반복,6.0163,0.1321,-0.2295,0.1485,0.912,-0.219492344867402
2011,추천,H/I,급락 50% 국면당1회,4.244,0.1113,-0.2192,0.1361,0.845,-0.21220052390347044
