sample,structure,interval,step,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,F79,5,0.15,0.25,0.8014,0.1251,-0.364,0.2213,0.645,0.8025,0.633
5y,F79,5,0.15,0.5,0.8202,0.1274,-0.364,0.2215,0.654,0.8025,0.633
5y,F79,5,0.15,0.75,0.8311,0.1288,-0.364,0.2216,0.66,0.8025,0.633
5y,F79,5,0.15,1.0,0.8387,0.1297,-0.364,0.2216,0.663,0.8025,0.633
5y,F79,5,0.2,0.0,0.775,0.1218,-0.364,0.2224,0.63,0.8025,0.633
5y,F79,5,0.2,0.25,0.8005,0.125,-0.364,0.2226,0.642,0.8025,0.633
5y,F79,5,0.2,0.5,0.8109,0.1263,-0.364,0.2226,0.648,0.8025,0.633
5y,F79,5,0.2,0.75,0.8163,0.1269,-0.364,0.2227,0.65,0.8025,0.633
5y,F79,5,0.2,1.0,0.8203,0.1274,-0.364,0.2227,0.652,0.8025,0.633
5y,F79,5,0.3,0.0,0.7874,0.1233,-0.364,0.2235,0.634,0.8025,0.633
5y,F79,5,0.3,0.25,0.8044,0.1255,-0.364,0.2236,0.642,0.8025,0.633
5y,F79,5,0.3,0.5,0.8145,0.1267,-0.364,0.2237,0.647,0.8025,0.633
5y,F79,5,0.3,0.75,0.8198,0.1274,-0.364,0.2237,0.65,0.8025,0.633
5y,F79,5,0.3,1.0,0.8237,0.1279,-0.364,0.2237,0.652,0.8025,0.633
5y,F79,5,0.4,0.0,0.7818,0.1226,-0.364,0.2241,0.63,0.8025,0.633
5y,F79,5,0.4,0.25,0.7949,0.1243,-0.364,0.2242,0.637,0.8025,0.633
5y,F79,5,0.4,0.5,0.805,0.1255,-0.364,0.2242,0.642,0.8025,0.633
5y,F79,5,0.4,0.75,0.8102,0.1262,-0.364,0.2242,0.644,0.8025,0.633
5y,F79,5,0.4,1.0,0.8141,0.1267,-0.364,0.2243,0.646,0.8025,0.633
5y,F79,5,0.5,0.0,0.771,0.1213,-0.364,0.2245,0.624,0.8025,0.633
5y,F79,5,0.5,0.25,0.7802,0.1224,-0.364,0.2246,0.629,0.8025,0.633
5y,F79,5,0.5,0.5,0.7902,0.1237,-0.364,0.2246,0.634,0.8025,0.633
5y,F79,5,0.5,0.75,0.7954,0.1243,-0.364,0.2246,0.636,0.8025,0.633
5y,F79,5,0.5,1.0,0.7992,0.1248,-0.364,0.2247,0.638,0.8025,0.633
5y,F79,7,0.02,0.0,0.3615,0.0638,-0.2954,0.1748,0.442,0.8025,0.633
5y,F79,7,0.02,0.25,0.793,0.124,-0.364,0.2146,0.654,0.8025,0.633
5y,F79,7,0.02,0.5,0.8975,0.1369,-0.364,0.2179,0.7,0.8025,0.633
5y,F79,7,0.02,0.75,0.9675,0.1451,-0.364,0.2188,0.731,0.8025,0.633
5y,F79,7,0.02,1.0,0.9964,0.1485,-0.364,0.219,0.744,0.8025,0.633
5y,F79,7,0.05,0.0,0.4581,0.0784,-0.3495,0.2074,0.469,0.8025,0.633
5y,F79,7,0.05,0.25,0.7893,0.1236,-0.364,0.2172,0.647,0.8025,0.633
5y,F79,7,0.05,0.5,0.8995,0.1371,-0.364,0.2185,0.7,0.8025,0.633
5y,F79,7,0.05,0.75,0.9472,0.1428,-0.364,0.219,0.721,0.8025,0.633
5y,F79,7,0.05,1.0,0.9692,0.1453,-0.364,0.2192,0.731,0.8025,0.633
