sample,structure,interval,step,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,F79,28,0.5,1.0,0.8988,0.137,-0.364,0.2202,0.696,0.8025,0.633
5y,F79,42,0.02,0.0,0.0125,0.0025,-0.1796,0.071,0.071,0.8025,0.633
5y,F79,42,0.02,0.25,0.7687,0.121,-0.3621,0.2124,0.646,0.8025,0.633
5y,F79,42,0.02,0.5,0.92,0.1395,-0.3639,0.2166,0.714,0.8025,0.633
5y,F79,42,0.02,0.75,0.9773,0.1463,-0.364,0.2184,0.737,0.8025,0.633
5y,F79,42,0.02,1.0,1.0125,0.1503,-0.364,0.219,0.752,0.8025,0.633
5y,F79,42,0.05,0.0,0.1371,0.0261,-0.2193,0.1055,0.298,0.8025,0.633
5y,F79,42,0.05,0.25,0.7718,0.1214,-0.3621,0.2127,0.647,0.8025,0.633
5y,F79,42,0.05,0.5,0.9131,0.1387,-0.3639,0.2168,0.71,0.8025,0.633
5y,F79,42,0.05,0.75,0.9693,0.1453,-0.364,0.2186,0.733,0.8025,0.633
5y,F79,42,0.05,1.0,1.0094,0.15,-0.364,0.219,0.75,0.8025,0.633
5y,F79,42,0.1,0.0,0.2998,0.0539,-0.28,0.156,0.416,0.8025,0.633
5y,F79,42,0.1,0.25,0.7715,0.1213,-0.3621,0.2131,0.646,0.8025,0.633
5y,F79,42,0.1,0.5,0.9016,0.1374,-0.3639,0.2171,0.704,0.8025,0.633
5y,F79,42,0.1,0.75,0.9637,0.1447,-0.364,0.2187,0.73,0.8025,0.633
5y,F79,42,0.1,1.0,1.0041,0.1494,-0.364,0.219,0.748,0.8025,0.633
5y,F79,42,0.15,0.0,0.3374,0.0599,-0.3093,0.1835,0.41,0.8025,0.633
5y,F79,42,0.15,0.25,0.7698,0.1211,-0.3621,0.2135,0.644,0.8025,0.633
5y,F79,42,0.15,0.5,0.8902,0.136,-0.3639,0.2174,0.697,0.8025,0.633
5y,F79,42,0.15,0.75,0.9587,0.1441,-0.364,0.2187,0.727,0.8025,0.633
5y,F79,42,0.15,1.0,0.9989,0.1488,-0.364,0.219,0.745,0.8025,0.633
5y,F79,42,0.2,0.0,0.332,0.0591,-0.3286,0.1962,0.392,0.8025,0.633
5y,F79,42,0.2,0.25,0.7634,0.1203,-0.3621,0.2139,0.64,0.8025,0.633
5y,F79,42,0.2,0.5,0.8788,0.1346,-0.3639,0.2178,0.691,0.8025,0.633
5y,F79,42,0.2,0.75,0.9538,0.1435,-0.364,0.2187,0.725,0.8025,0.633
5y,F79,42,0.2,1.0,0.9936,0.1482,-0.364,0.2191,0.743,0.8025,0.633
5y,F79,42,0.3,0.0,0.4092,0.0711,-0.337,0.2041,0.44,0.8025,0.633
5y,F79,42,0.3,0.25,0.7472,0.1182,-0.3621,0.2146,0.63,0.8025,0.633
5y,F79,42,0.3,0.5,0.8665,0.1331,-0.3639,0.2181,0.684,0.8025,0.633
5y,F79,42,0.3,0.75,0.9439,0.1424,-0.364,0.2188,0.72,0.8025,0.633
5y,F79,42,0.3,1.0,0.9832,0.147,-0.364,0.2191,0.738,0.8025,0.633
5y,F79,42,0.4,0.0,0.4536,0.0778,-0.3437,0.2081,0.465,0.8025,0.633
5y,F79,42,0.4,0.25,0.7312,0.1162,-0.3621,0.2154,0.62,0.8025,0.633
5y,F79,42,0.4,0.5,0.8575,0.132,-0.3639,0.2182,0.68,0.8025,0.633
5y,F79,42,0.4,0.75,0.9341,0.1412,-0.364,0.2189,0.715,0.8025,0.633
5y,F79,42,0.4,1.0,0.9727,0.1457,-0.364,0.2192,0.733,0.8025,0.633
5y,F79,42,0.5,0.0,0.4922,0.0834,-0.3504,0.212,0.485,0.8025,0.633
5y,F79,42,0.5,0.25,0.7152,0.1141,-0.3621,0.2164,0.609,0.8025,0.633
5y,F79,42,0.5,0.5,0.8485,0.1309,-0.3639,0.2183,0.675,0.8025,0.633
5y,F79,42,0.5,0.75,0.9243,0.14,-0.364,0.219,0.71,0.8025,0.633
5y,F79,42,0.5,1.0,0.9622,0.1445,-0.364,0.2194,0.728,0.8025,0.633
5y,F79,63,0.02,0.0,-0.0017,-0.0003,-0.1677,0.0647,0.027,0.8025,0.633
5y,F79,63,0.02,0.25,0.7657,0.1206,-0.3621,0.2123,0.644,0.8025,0.633
5y,F79,63,0.02,0.5,0.917,0.1392,-0.3639,0.2166,0.712,0.8025,0.633
5y,F79,63,0.02,0.75,0.9757,0.1461,-0.364,0.2184,0.736,0.8025,0.633
5y,F79,63,0.02,1.0,1.0114,0.1502,-0.364,0.219,0.751,0.8025,0.633
5y,F79,63,0.05,0.0,0.1015,0.0195,-0.1899,0.0871,0.267,0.8025,0.633
5y,F79,63,0.05,0.25,0.763,0.1202,-0.3621,0.2127,0.642,0.8025,0.633
5y,F79,63,0.05,0.5,0.9087,0.1382,-0.3639,0.2167,0.708,0.8025,0.633
5y,F79,63,0.05,0.75,0.9654,0.1449,-0.364,0.2186,0.731,0.8025,0.633
5y,F79,63,0.05,1.0,1.0067,0.1497,-0.364,0.219,0.749,0.8025,0.633
5y,F79,63,0.1,0.0,0.2784,0.0504,-0.2266,0.1295,0.446,0.8025,0.633
5y,F79,63,0.1,0.25,0.7568,0.1195,-0.3621,0.2131,0.638,0.8025,0.633
5y,F79,63,0.1,0.5,0.8949,0.1365,-0.3639,0.2171,0.701,0.8025,0.633
5y,F79,63,0.1,0.75,0.9587,0.1441,-0.364,0.2186,0.728,0.8025,0.633
5y,F79,63,0.1,1.0,0.9988,0.1488,-0.364,0.219,0.745,0.8025,0.633
5y,F79,63,0.15,0.0,0.3601,0.0635,-0.2627,0.1597,0.467,0.8025,0.633
5y,F79,63,0.15,0.25,0.7505,0.1186,-0.3621,0.2136,0.634,0.8025,0.633
5y,F79,63,0.15,0.5,0.8812,0.1349,-0.3639,0.2174,0.693,0.8025,0.633
5y,F79,63,0.15,0.75,0.9522,0.1433,-0.364,0.2186,0.725,0.8025,0.633
5y,F79,63,0.15,1.0,0.9908,0.1478,-0.364,0.219,0.742,0.8025,0.633
5y,F79,63,0.2,0.0,0.3696,0.065,-0.2921,0.1815,0.439,0.8025,0.633
5y,F79,63,0.2,0.25,0.7441,0.1178,-0.3621,0.2141,0.629,0.8025,0.633
5y,F79,63,0.2,0.5,0.8712,0.1337,-0.3639,0.2177,0.688,0.8025,0.633
5y,F79,63,0.2,0.75,0.9457,0.1426,-0.364,0.2187,0.721,0.8025,0.633
5y,F79,63,0.2,1.0,0.9829,0.1469,-0.364,0.2191,0.738,0.8025,0.633
5y,F79,63,0.3,0.0,0.3477,0.0616,-0.3353,0.1974,0.402,0.8025,0.633
5y,F79,63,0.3,0.25,0.7315,0.1162,-0.3621,0.2152,0.62,0.8025,0.633
5y,F79,63,0.3,0.5,0.8647,0.1329,-0.3639,0.2179,0.684,0.8025,0.633
5y,F79,63,0.3,0.75,0.9328,0.1411,-0.364,0.2188,0.715,0.8025,0.633
5y,F79,63,0.3,1.0,0.9671,0.1451,-0.364,0.2191,0.73,0.8025,0.633
5y,F79,63,0.4,0.0,0.3914,0.0684,-0.3425,0.2025,0.429,0.8025,0.633
5y,F79,63,0.4,0.25,0.7279,0.1157,-0.3621,0.2159,0.617,0.8025,0.633
5y,F79,63,0.4,0.5,0.8581,0.1321,-0.3639,0.2181,0.68,0.8025,0.633
5y,F79,63,0.4,0.75,0.9199,0.1395,-0.364,0.2189,0.709,0.8025,0.633
5y,F79,63,0.4,1.0,0.9513,0.1432,-0.364,0.2192,0.723,0.8025,0.633
5y,F79,63,0.5,0.0,0.4281,0.074,-0.3488,0.2075,0.449,0.8025,0.633
5y,F79,63,0.5,0.25,0.731,0.1161,-0.3621,0.2163,0.618,0.8025,0.633
5y,F79,63,0.5,0.5,0.8515,0.1313,-0.3639,0.2183,0.677,0.8025,0.633
5y,F79,63,0.5,0.75,0.907,0.138,-0.364,0.219,0.702,0.8025,0.633
5y,F79,63,0.5,1.0,0.9356,0.1414,-0.364,0.2193,0.715,0.8025,0.633
5y,A79,3,0.02,0.0,0.4447,0.0765,-0.359,0.2086,0.459,0.8025,0.633
5y,A79,3,0.02,0.25,0.77,0.1211,-0.364,0.2179,0.636,0.8025,0.633
5y,A79,3,0.02,0.5,0.8685,0.1334,-0.364,0.2192,0.683,0.8025,0.633
5y,A79,3,0.02,0.75,0.9124,0.1386,-0.364,0.2197,0.703,0.8025,0.633
5y,A79,3,0.02,1.0,0.9337,0.1412,-0.364,0.2198,0.713,0.8025,0.633
5y,A79,3,0.05,0.0,0.726,0.1155,-0.364,0.218,0.612,0.8025,0.633
5y,A79,3,0.05,0.25,0.8001,0.1249,-0.364,0.2197,0.648,0.8025,0.633
5y,A79,3,0.05,0.5,0.8369,0.1295,-0.364,0.2203,0.665,0.8025,0.633
5y,A79,3,0.05,0.75,0.8568,0.1319,-0.364,0.2205,0.674,0.8025,0.633
5y,A79,3,0.05,1.0,0.8706,0.1336,-0.364,0.2206,0.681,0.8025,0.633
5y,A79,3,0.1,0.0,0.7801,0.1224,-0.364,0.2223,0.633,0.8025,0.633
5y,A79,3,0.1,0.25,0.7701,0.1211,-0.364,0.2226,0.627,0.8025,0.633
5y,A79,3,0.1,0.5,0.7736,0.1216,-0.364,0.2228,0.628,0.8025,0.633
5y,A79,3,0.1,0.75,0.7796,0.1223,-0.364,0.2229,0.631,0.8025,0.633
5y,A79,3,0.1,1.0,0.7845,0.123,-0.364,0.2229,0.634,0.8025,0.633
5y,A79,3,0.15,0.0,0.7936,0.1241,-0.364,0.2239,0.637,0.8025,0.633
5y,A79,3,0.15,0.25,0.7869,0.1233,-0.364,0.2241,0.633,0.8025,0.633
5y,A79,3,0.15,0.5,0.7851,0.123,-0.364,0.2242,0.632,0.8025,0.633
5y,A79,3,0.15,0.75,0.7879,0.1234,-0.364,0.2242,0.633,0.8025,0.633
5y,A79,3,0.15,1.0,0.7907,0.1237,-0.364,0.2242,0.634,0.8025,0.633
5y,A79,3,0.2,0.0,0.7906,0.1237,-0.364,0.2246,0.634,0.8025,0.633
5y,A79,3,0.2,0.25,0.787,0.1233,-0.364,0.2247,0.632,0.8025,0.633
5y,A79,3,0.2,0.5,0.7852,0.1231,-0.364,0.2248,0.631,0.8025,0.633
5y,A79,3,0.2,0.75,0.7881,0.1234,-0.364,0.2248,0.632,0.8025,0.633
5y,A79,3,0.2,1.0,0.7908,0.1238,-0.364,0.2248,0.633,0.8025,0.633
5y,A79,3,0.3,0.0,0.7746,0.1217,-0.364,0.2252,0.625,0.8025,0.633
5y,A79,3,0.3,0.25,0.777,0.122,-0.364,0.2253,0.626,0.8025,0.633
5y,A79,3,0.3,0.5,0.7751,0.1218,-0.364,0.2254,0.625,0.8025,0.633
5y,A79,3,0.3,0.75,0.778,0.1221,-0.364,0.2254,0.626,0.8025,0.633
5y,A79,3,0.3,1.0,0.7807,0.1225,-0.364,0.2254,0.627,0.8025,0.633
5y,A79,3,0.4,0.0,0.7701,0.1211,-0.364,0.2256,0.622,0.8025,0.633
5y,A79,3,0.4,0.25,0.7786,0.1222,-0.364,0.2256,0.626,0.8025,0.633
5y,A79,3,0.4,0.5,0.7768,0.122,-0.364,0.2257,0.625,0.8025,0.633
5y,A79,3,0.4,0.75,0.7796,0.1223,-0.364,0.2257,0.626,0.8025,0.633
5y,A79,3,0.4,1.0,0.7824,0.1227,-0.364,0.2257,0.628,0.8025,0.633
5y,A79,3,0.5,0.0,0.7648,0.1205,-0.364,0.2259,0.619,0.8025,0.633
5y,A79,3,0.5,0.25,0.7791,0.1223,-0.364,0.2258,0.626,0.8025,0.633
5y,A79,3,0.5,0.5,0.7773,0.1221,-0.364,0.2259,0.625,0.8025,0.633
5y,A79,3,0.5,0.75,0.7801,0.1224,-0.364,0.2259,0.626,0.8025,0.633
5y,A79,3,0.5,1.0,0.7829,0.1228,-0.364,0.2259,0.627,0.8025,0.633
5y,A79,5,0.02,0.0,0.3307,0.0589,-0.3421,0.2003,0.387,0.8025,0.633
5y,A79,5,0.02,0.25,0.779,0.1223,-0.364,0.2161,0.644,0.8025,0.633
5y,A79,5,0.02,0.5,0.8643,0.1328,-0.364,0.2189,0.682,0.8025,0.633
5y,A79,5,0.02,0.75,0.9247,0.1401,-0.364,0.2195,0.709,0.8025,0.633
5y,A79,5,0.02,1.0,0.951,0.1432,-0.364,0.2197,0.721,0.8025,0.633
5y,A79,5,0.05,0.0,0.5514,0.0919,-0.3628,0.2136,0.52,0.8025,0.633
5y,A79,5,0.05,0.25,0.7897,0.1236,-0.364,0.2185,0.645,0.8025,0.633
5y,A79,5,0.05,0.5,0.8579,0.1321,-0.364,0.2195,0.677,0.8025,0.633
5y,A79,5,0.05,0.75,0.8934,0.1364,-0.364,0.2199,0.694,0.8025,0.633
5y,A79,5,0.05,1.0,0.9135,0.1388,-0.364,0.22,0.703,0.8025,0.633
5y,A79,5,0.1,0.0,0.7432,0.1177,-0.364,0.2189,0.62,0.8025,0.633
5y,A79,5,0.1,0.25,0.7945,0.1242,-0.364,0.2201,0.644,0.8025,0.633
5y,A79,5,0.1,0.5,0.8209,0.1275,-0.364,0.2207,0.656,0.8025,0.633
5y,A79,5,0.1,0.75,0.839,0.1297,-0.364,0.2208,0.665,0.8025,0.633
5y,A79,5,0.1,1.0,0.8517,0.1313,-0.364,0.2209,0.671,0.8025,0.633
5y,A79,5,0.15,0.0,0.785,0.123,-0.364,0.2215,0.637,0.8025,0.633
5y,A79,5,0.15,0.25,0.7819,0.1226,-0.364,0.2219,0.634,0.8025,0.633
5y,A79,5,0.15,0.5,0.7887,0.1235,-0.364,0.2222,0.637,0.8025,0.633
5y,A79,5,0.15,0.75,0.797,0.1245,-0.364,0.2222,0.641,0.8025,0.633
5y,A79,5,0.15,1.0,0.8034,0.1253,-0.364,0.2223,0.644,0.8025,0.633
5y,A79,5,0.2,0.0,0.7946,0.1242,-0.364,0.2229,0.639,0.8025,0.633
5y,A79,5,0.2,0.25,0.7811,0.1225,-0.364,0.2232,0.632,0.8025,0.633
5y,A79,5,0.2,0.5,0.7795,0.1223,-0.364,0.2233,0.631,0.8025,0.633
5y,A79,5,0.2,0.75,0.7825,0.1227,-0.364,0.2233,0.632,0.8025,0.633
5y,A79,5,0.2,1.0,0.7854,0.1231,-0.364,0.2234,0.633,0.8025,0.633
5y,A79,5,0.3,0.0,0.7928,0.124,-0.364,0.2241,0.636,0.8025,0.633
5y,A79,5,0.3,0.25,0.7849,0.123,-0.364,0.2242,0.632,0.8025,0.633
5y,A79,5,0.3,0.5,0.7831,0.1228,-0.364,0.2244,0.63,0.8025,0.633
5y,A79,5,0.3,0.75,0.786,0.1231,-0.364,0.2244,0.632,0.8025,0.633
5y,A79,5,0.3,1.0,0.7888,0.1235,-0.364,0.2244,0.633,0.8025,0.633
5y,A79,5,0.4,0.0,0.7746,0.1217,-0.364,0.2247,0.625,0.8025,0.633
5y,A79,5,0.4,0.25,0.7756,0.1218,-0.364,0.2248,0.626,0.8025,0.633
5y,A79,5,0.4,0.5,0.7738,0.1216,-0.364,0.2249,0.625,0.8025,0.633
5y,A79,5,0.4,0.75,0.7766,0.122,-0.364,0.2249,0.626,0.8025,0.633
5y,A79,5,0.4,1.0,0.7794,0.1223,-0.364,0.2249,0.628,0.8025,0.633
5y,A79,5,0.5,0.0,0.7516,0.1188,-0.364,0.2252,0.613,0.8025,0.633
5y,A79,5,0.5,0.25,0.761,0.12,-0.364,0.2252,0.618,0.8025,0.633
5y,A79,5,0.5,0.5,0.7592,0.1198,-0.364,0.2253,0.617,0.8025,0.633
5y,A79,5,0.5,0.75,0.762,0.1201,-0.364,0.2253,0.618,0.8025,0.633
5y,A79,5,0.5,1.0,0.7648,0.1205,-0.364,0.2253,0.619,0.8025,0.633
5y,A79,7,0.02,0.0,0.3204,0.0572,-0.3246,0.1838,0.396,0.8025,0.633
5y,A79,7,0.02,0.25,0.7752,0.1218,-0.364,0.2152,0.644,0.8025,0.633
5y,A79,7,0.02,0.5,0.8647,0.1329,-0.364,0.2186,0.682,0.8025,0.633
5y,A79,7,0.02,0.75,0.9309,0.1408,-0.364,0.2195,0.713,0.8025,0.633
5y,A79,7,0.02,1.0,0.9582,0.144,-0.364,0.2197,0.725,0.8025,0.633
5y,A79,7,0.05,0.0,0.4538,0.0778,-0.3607,0.209,0.464,0.8025,0.633
5y,A79,7,0.05,0.25,0.77,0.1211,-0.364,0.2179,0.636,0.8025,0.633
5y,A79,7,0.05,0.5,0.8667,0.1331,-0.364,0.2192,0.682,0.8025,0.633
5y,A79,7,0.05,0.75,0.911,0.1385,-0.364,0.2197,0.703,0.8025,0.633
5y,A79,7,0.05,1.0,0.9315,0.1409,-0.364,0.2198,0.712,0.8025,0.633
5y,A79,7,0.1,0.0,0.686,0.1103,-0.364,0.2164,0.593,0.8025,0.633
5y,A79,7,0.1,0.25,0.7945,0.1242,-0.364,0.219,0.646,0.8025,0.633
5y,A79,7,0.1,0.5,0.846,0.1306,-0.364,0.2198,0.671,0.8025,0.633
5y,A79,7,0.1,0.75,0.8714,0.1337,-0.364,0.2201,0.683,0.8025,0.633
5y,A79,7,0.1,1.0,0.8874,0.1356,-0.364,0.2203,0.69,0.8025,0.633
5y,A79,7,0.15,0.0,0.7441,0.1178,-0.364,0.219,0.62,0.8025,0.633
5y,A79,7,0.15,0.25,0.7899,0.1236,-0.364,0.2201,0.642,0.8025,0.633
5y,A79,7,0.15,0.5,0.8166,0.127,-0.364,0.2206,0.654,0.8025,0.633
5y,A79,7,0.15,0.75,0.832,0.1289,-0.364,0.2208,0.662,0.8025,0.633
5y,A79,7,0.15,1.0,0.8437,0.1303,-0.364,0.2209,0.667,0.8025,0.633
5y,A79,7,0.2,0.0,0.7661,0.1206,-0.364,0.2209,0.628,0.8025,0.633
5y,A79,7,0.2,0.25,0.7681,0.1209,-0.364,0.2213,0.628,0.8025,0.633
5y,A79,7,0.2,0.5,0.7808,0.1225,-0.364,0.2217,0.634,0.8025,0.633
5y,A79,7,0.2,0.75,0.7915,0.1238,-0.364,0.2218,0.639,0.8025,0.633
5y,A79,7,0.2,1.0,0.7998,0.1249,-0.364,0.2219,0.643,0.8025,0.633
5y,A79,7,0.3,0.0,0.7772,0.122,-0.364,0.2228,0.63,0.8025,0.633
5y,A79,7,0.3,0.25,0.7591,0.1197,-0.364,0.2231,0.621,0.8025,0.633
5y,A79,7,0.3,0.5,0.7605,0.1199,-0.364,0.2232,0.621,0.8025,0.633
5y,A79,7,0.3,0.75,0.7649,0.1205,-0.364,0.2233,0.623,0.8025,0.633
5y,A79,7,0.3,1.0,0.7687,0.121,-0.364,0.2233,0.625,0.8025,0.633
5y,A79,7,0.4,0.0,0.7733,0.1215,-0.364,0.2237,0.627,0.8025,0.633
5y,A79,7,0.4,0.25,0.7562,0.1194,-0.364,0.2239,0.618,0.8025,0.633
5y,A79,7,0.4,0.5,0.7544,0.1191,-0.364,0.224,0.616,0.8025,0.633
5y,A79,7,0.4,0.75,0.7572,0.1195,-0.364,0.2241,0.618,0.8025,0.633
5y,A79,7,0.4,1.0,0.76,0.1199,-0.364,0.2241,0.619,0.8025,0.633
5y,A79,7,0.5,0.0,0.771,0.1213,-0.364,0.2244,0.624,0.8025,0.633
5y,A79,7,0.5,0.25,0.7531,0.119,-0.364,0.2246,0.615,0.8025,0.633
5y,A79,7,0.5,0.5,0.7513,0.1188,-0.364,0.2247,0.614,0.8025,0.633
5y,A79,7,0.5,0.75,0.7541,0.1191,-0.364,0.2247,0.615,0.8025,0.633
5y,A79,7,0.5,1.0,0.7568,0.1195,-0.364,0.2247,0.616,0.8025,0.633
5y,A79,10,0.02,0.0,0.2587,0.0472,-0.3002,0.1624,0.366,0.8025,0.633
5y,A79,10,0.02,0.25,0.7729,0.1215,-0.364,0.2146,0.644,0.8025,0.633
5y,A79,10,0.02,0.5,0.8773,0.1344,-0.364,0.2181,0.69,0.8025,0.633
5y,A79,10,0.02,0.75,0.9386,0.1417,-0.364,0.2194,0.716,0.8025,0.633
5y,A79,10,0.02,1.0,0.9695,0.1454,-0.364,0.2197,0.73,0.8025,0.633
5y,A79,10,0.05,0.0,0.3742,0.0657,-0.3499,0.2041,0.415,0.8025,0.633
5y,A79,10,0.05,0.25,0.7829,0.1228,-0.364,0.2166,0.645,0.8025,0.633
5y,A79,10,0.05,0.5,0.8764,0.1343,-0.364,0.219,0.687,0.8025,0.633
5y,A79,10,0.05,0.75,0.933,0.1411,-0.364,0.2195,0.713,0.8025,0.633
5y,A79,10,0.05,1.0,0.9597,0.1442,-0.364,0.2198,0.725,0.8025,0.633
5y,A79,10,0.1,0.0,0.5565,0.0926,-0.3622,0.2132,0.524,0.8025,0.633
5y,A79,10,0.1,0.25,0.8044,0.1255,-0.364,0.2184,0.653,0.8025,0.633
5y,A79,10,0.1,0.5,0.8803,0.1348,-0.364,0.2194,0.688,0.8025,0.633
5y,A79,10,0.1,0.75,0.9203,0.1396,-0.364,0.2198,0.707,0.8025,0.633
5y,A79,10,0.1,1.0,0.9432,0.1423,-0.364,0.22,0.717,0.8025,0.633
5y,A79,10,0.15,0.0,0.7185,0.1145,-0.364,0.2166,0.611,0.8025,0.633
5y,A79,10,0.15,0.25,0.8239,0.1279,-0.364,0.2192,0.661,0.8025,0.633
5y,A79,10,0.15,0.5,0.8772,0.1344,-0.364,0.22,0.686,0.8025,0.633
5y,A79,10,0.15,0.75,0.9075,0.138,-0.364,0.2203,0.7,0.8025,0.633
5y,A79,10,0.15,1.0,0.9265,0.1403,-0.364,0.2204,0.708,0.8025,0.633
5y,A79,10,0.2,0.0,0.7759,0.1219,-0.364,0.2186,0.637,0.8025,0.633
5y,A79,10,0.2,0.25,0.8339,0.1291,-0.364,0.22,0.664,0.8025,0.633
5y,A79,10,0.2,0.5,0.8705,0.1336,-0.364,0.2206,0.681,0.8025,0.633
5y,A79,10,0.2,0.75,0.8944,0.1365,-0.364,0.2209,0.692,0.8025,0.633
5y,A79,10,0.2,1.0,0.9097,0.1383,-0.364,0.221,0.699,0.8025,0.633
5y,A79,10,0.3,0.0,0.8399,0.1299,-0.364,0.2211,0.665,0.8025,0.633
5y,A79,10,0.3,0.25,0.8343,0.1292,-0.364,0.2218,0.661,0.8025,0.633
5y,A79,10,0.3,0.5,0.8504,0.1311,-0.364,0.2221,0.668,0.8025,0.633
5y,A79,10,0.3,0.75,0.8625,0.1326,-0.364,0.2222,0.674,0.8025,0.633
5y,A79,10,0.3,1.0,0.871,0.1337,-0.364,0.2223,0.678,0.8025,0.633
5y,A79,10,0.4,0.0,0.8596,0.1323,-0.364,0.2224,0.672,0.8025,0.633
5y,A79,10,0.4,0.25,0.8366,0.1295,-0.364,0.2229,0.66,0.8025,0.633
5y,A79,10,0.4,0.5,0.8418,0.1301,-0.364,0.2231,0.662,0.8025,0.633
5y,A79,10,0.4,0.75,0.848,0.1309,-0.364,0.2232,0.665,0.8025,0.633
5y,A79,10,0.4,1.0,0.8531,0.1315,-0.364,0.2232,0.667,0.8025,0.633
5y,A79,10,0.5,0.0,0.8778,0.1345,-0.364,0.2235,0.679,0.8025,0.633
5y,A79,10,0.5,0.25,0.8429,0.1302,-0.364,0.2239,0.661,0.8025,0.633
5y,A79,10,0.5,0.5,0.8412,0.13,-0.364,0.224,0.66,0.8025,0.633
5y,A79,10,0.5,0.75,0.8442,0.1304,-0.364,0.2241,0.661,0.8025,0.633
5y,A79,10,0.5,1.0,0.8471,0.1307,-0.364,0.2241,0.663,0.8025,0.633
5y,A79,14,0.02,0.0,0.1847,0.0345,-0.2724,0.1362,0.318,0.8025,0.633
5y,A79,14,0.02,0.25,0.7674,0.1208,-0.364,0.2142,0.642,0.8025,0.633
5y,A79,14,0.02,0.5,0.8821,0.135,-0.364,0.2178,0.693,0.8025,0.633
5y,A79,14,0.02,0.75,0.9387,0.1417,-0.364,0.2194,0.716,0.8025,0.633
5y,A79,14,0.02,1.0,0.9714,0.1456,-0.364,0.2197,0.731,0.8025,0.633
5y,A79,14,0.05,0.0,0.3199,0.0572,-0.3398,0.1959,0.383,0.8025,0.633
5y,A79,14,0.05,0.25,0.7808,0.1225,-0.364,0.2155,0.646,0.8025,0.633
5y,A79,14,0.05,0.5,0.8693,0.1335,-0.364,0.2188,0.684,0.8025,0.633
5y,A79,14,0.05,0.75,0.9363,0.1415,-0.364,0.2195,0.715,0.8025,0.633
5y,A79,14,0.05,1.0,0.9645,0.1448,-0.364,0.2197,0.728,0.8025,0.633
5y,A79,14,0.1,0.0,0.4428,0.0762,-0.3619,0.2084,0.458,0.8025,0.633
5y,A79,14,0.1,0.25,0.7798,0.1224,-0.364,0.2176,0.641,0.8025,0.633
5y,A79,14,0.1,0.5,0.8823,0.135,-0.364,0.2191,0.69,0.8025,0.633
5y,A79,14,0.1,0.75,0.9273,0.1404,-0.364,0.2196,0.711,0.8025,0.633
5y,A79,14,0.1,1.0,0.9528,0.1434,-0.364,0.2198,0.722,0.8025,0.633
5y,A79,14,0.15,0.0,0.5623,0.0935,-0.3636,0.2134,0.527,0.8025,0.633
5y,A79,14,0.15,0.25,0.8077,0.1259,-0.364,0.2184,0.654,0.8025,0.633
5y,A79,14,0.15,0.5,0.8803,0.1348,-0.364,0.2194,0.688,0.8025,0.633
5y,A79,14,0.15,0.75,0.918,0.1393,-0.364,0.2198,0.706,0.8025,0.633
5y,A79,14,0.15,1.0,0.9411,0.142,-0.364,0.22,0.716,0.8025,0.633
5y,A79,14,0.2,0.0,0.684,0.11,-0.364,0.2159,0.593,0.8025,0.633
5y,A79,14,0.2,0.25,0.821,0.1275,-0.364,0.2188,0.66,0.8025,0.633
5y,A79,14,0.2,0.5,0.8758,0.1342,-0.364,0.2197,0.686,0.8025,0.633
5y,A79,14,0.2,0.75,0.9086,0.1382,-0.364,0.22,0.701,0.8025,0.633
5y,A79,14,0.2,1.0,0.9293,0.1406,-0.364,0.2202,0.71,0.8025,0.633
5y,A79,14,0.3,0.0,0.7732,0.1215,-0.364,0.2185,0.636,0.8025,0.633
5y,A79,14,0.3,0.25,0.8283,0.1284,-0.364,0.2198,0.662,0.8025,0.633
5y,A79,14,0.3,0.5,0.8649,0.1329,-0.364,0.2205,0.679,0.8025,0.633
5y,A79,14,0.3,0.75,0.8896,0.1359,-0.364,0.2207,0.69,0.8025,0.633
5y,A79,14,0.3,1.0,0.9054,0.1378,-0.364,0.2209,0.697,0.8025,0.633
5y,A79,14,0.4,0.0,0.8156,0.1268,-0.364,0.2201,0.655,0.8025,0.633
5y,A79,14,0.4,0.25,0.8284,0.1284,-0.364,0.2209,0.66,0.8025,0.633
5y,A79,14,0.4,0.5,0.8536,0.1315,-0.364,0.2213,0.671,0.8025,0.633
5y,A79,14,0.4,0.75,0.8712,0.1337,-0.364,0.2215,0.679,0.8025,0.633
5y,A79,14,0.4,1.0,0.8831,0.1351,-0.364,0.2217,0.685,0.8025,0.633
5y,A79,14,0.5,0.0,0.85,0.1311,-0.364,0.2218,0.669,0.8025,0.633
5y,A79,14,0.5,0.25,0.8274,0.1283,-0.364,0.222,0.657,0.8025,0.633
5y,A79,14,0.5,0.5,0.8419,0.1301,-0.364,0.2224,0.663,0.8025,0.633
5y,A79,14,0.5,0.75,0.8529,0.1315,-0.364,0.2225,0.669,0.8025,0.633
5y,A79,14,0.5,1.0,0.8612,0.1325,-0.364,0.2226,0.672,0.8025,0.633
5y,A79,21,0.02,0.0,0.0971,0.0187,-0.2433,0.1103,0.224,0.8025,0.633
5y,A79,21,0.02,0.25,0.7583,0.1196,-0.364,0.2138,0.638,0.8025,0.633
5y,A79,21,0.02,0.5,0.8837,0.1352,-0.364,0.2176,0.694,0.8025,0.633
5y,A79,21,0.02,0.75,0.9353,0.1413,-0.364,0.2194,0.715,0.8025,0.633
