sample,strategy,window,n,mean,worst,neg,win,b_mean,b_worst,b_neg,total_return,sharpe,mdd
5y,Buy&Hold,1y,1002,0.17918656815188252,-0.3528404878542909,0.16167664670658682,0.0,0.17918656815188252,-0.3528404878542909,0.16167664670658682,0.8025,0.633,-0.364
5y,Buy&Hold,2y,750,0.44884131310842806,-0.17279501718524914,0.10533333333333333,0.0,0.44884131310842806,-0.17279501718524914,0.10533333333333333,0.8025,0.633,-0.364
5y,Buy&Hold,3y,498,0.7331072638051837,0.07056832424709869,0.0,0.0,0.7331072638051837,0.07056832424709869,0.0,0.8025,0.633,-0.364
5y,H 100/100(기존),1y,1002,0.2041714862803569,-0.3528404878542909,0.15169660678642716,0.5518962075848304,0.17918656815188252,-0.3528404878542909,0.16167664670658682,0.9949,0.743,-0.364
5y,H 100/100(기존),2y,750,0.505554928203356,-0.06845849302171936,0.02666666666666667,0.7826666666666666,0.44884131310842806,-0.17279501718524914,0.10533333333333333,0.9949,0.743,-0.364
5y,H 100/100(기존),3y,498,0.8398334133808276,0.16338484720241864,0.0,0.9718875502008032,0.7331072638051837,0.07056832424709869,0.0,0.9949,0.743,-0.364
5y,H 매도만50%,1y,1002,0.19729713184423428,-0.3528404878542909,0.15568862275449102,0.5658682634730539,0.17918656815188252,-0.3528404878542909,0.16167664670658682,0.9481,0.719,-0.364
5y,H 매도만50%,2y,750,0.4944435645589206,-0.10481040640009998,0.058666666666666666,0.7946666666666666,0.44884131310842806,-0.17279501718524914,0.10533333333333333,0.9481,0.719,-0.364
5y,H 매도만50%,3y,498,0.8183470364289374,0.13610961632858554,0.0,0.9959839357429718,0.7331072638051837,0.07056832424709869,0.0,0.9481,0.719,-0.364
5y,H 둘다50%,1y,1002,0.1872614389575233,-0.352840487854291,0.15768463073852296,0.47105788423153694,0.17918656815188252,-0.3528404878542909,0.16167664670658682,0.8785,0.687,-0.364
5y,H 둘다50%,2y,750,0.46325377502625203,-0.11296041179406335,0.07066666666666667,0.6026666666666667,0.44884131310842806,-0.17279501718524914,0.10533333333333333,0.8785,0.687,-0.364
5y,H 둘다50%,3y,498,0.7650316720756705,0.10108438550058518,0.0,0.785140562248996,0.7331072638051837,0.07056832424709869,0.0,0.8785,0.687,-0.364
2011,Buy&Hold,1y,3698,0.17520056027681422,-0.352840487854291,0.13710113574905355,0.0,0.17520056027681422,-0.352840487854291,0.13710113574905355,8.8541,0.815,-0.364
2011,Buy&Hold,2y,3446,0.3709840577905027,-0.20823648653047777,0.09663377829367382,0.0,0.3709840577905027,-0.20823648653047777,0.09663377829367382,8.8541,0.815,-0.364
2011,Buy&Hold,3y,3194,0.5710845505499241,0.07056832424709891,0.0,0.0,0.5710845505499241,0.07056832424709891,0.0,8.8541,0.815,-0.364
2011,Buy&Hold,5y,2690,1.0604347439609718,0.36492175912667735,0.0,0.0,1.0604347439609718,0.36492175912667735,0.0,8.8541,0.815,-0.364
2011,H 100/100(기존),1y,3698,0.1459671946955971,-0.3528404878542909,0.18550567874526772,0.2714981070849108,0.17520056027681422,-0.352840487854291,0.13710113574905355,5.7751,0.73,-0.364
2011,H 100/100(기존),2y,3446,0.3073344967464808,-0.23267225502756705,0.0742890307603018,0.3395240858966918,0.3709840577905027,-0.20823648653047777,0.09663377829367382,5.7751,0.73,-0.364
2011,H 100/100(기존),3y,3194,0.46639787501235663,0.0026551282584681424,0.0,0.30713838447088293,0.5710845505499241,0.07056832424709891,0.0,5.7751,0.73,-0.364
2011,H 100/100(기존),5y,2690,0.7624161318676521,0.03196945870061496,0.0,0.08401486988847584,1.0604347439609718,0.36492175912667735,0.0,5.7751,0.73,-0.364
2011,H 매도만50%,1y,3698,0.15967600603144624,-0.352840487854291,0.15305570578691186,0.3053001622498648,0.17520056027681422,-0.352840487854291,0.13710113574905355,7.0529,0.783,-0.364
2011,H 매도만50%,2y,3446,0.3357371571594081,-0.21924974961306964,0.08850841555426582,0.3711549622751016,0.3709840577905027,-0.20823648653047777,0.09663377829367382,7.0529,0.783,-0.364
2011,H 매도만50%,3y,3194,0.5107602651619862,0.06210131261642604,0.0,0.36975579211020665,0.5710845505499241,0.07056832424709891,0.0,7.0529,0.783,-0.364
2011,H 매도만50%,5y,2690,0.8762384931298318,0.13227350976084318,0.0,0.1654275092936803,1.0604347439609718,0.36492175912667735,0.0,7.0529,0.783,-0.364
2011,H 둘다50%,1y,3698,0.15622073796933256,-0.352840487854291,0.1508923742563548,0.30989724175229855,0.17520056027681422,-0.352840487854291,0.13710113574905355,6.7634,0.775,-0.364
2011,H 둘다50%,2y,3446,0.3267050272773353,-0.219209249818894,0.0922809053975624,0.3113755078351712,0.3709840577905027,-0.20823648653047777,0.09663377829367382,6.7634,0.775,-0.364
2011,H 둘다50%,3y,3194,0.4981622497855536,0.06705307103258895,0.0,0.25015654351909833,0.5710845505499241,0.07056832424709891,0.0,6.7634,0.775,-0.364
2011,H 둘다50%,5y,2690,0.860841925182861,0.13934079726902437,0.0,0.08141263940520446,1.0604347439609718,0.36492175912667735,0.0,6.7634,0.775,-0.364
