initial,ramp_days,buy_step,interval,peak_to_trough,peak_to_recovery,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.4,1,0.2,14,-0.06031928920047169,0.1735394210111476,1.5503,0.1637,-0.2718,0.1868,0.908
0.4,1,0.2,21,-0.05100145589684757,0.1494806862153013,1.5755,0.1656,-0.2718,0.1853,0.923
0.4,2,0.1,14,-0.048664341524528254,0.15947309423365086,1.5267,0.162,-0.2718,0.1851,0.906
0.4,2,0.1,21,-0.043982064195014825,0.14719165117821875,1.5423,0.1632,-0.2718,0.1847,0.914
0.4,2,0.2,14,-0.06031928920047158,0.17353942101114694,1.5351,0.1626,-0.2718,0.1867,0.903
0.4,2,0.2,21,-0.051001455896847125,0.1494806862153022,1.5689,0.1651,-0.2718,0.1852,0.921
0.4,3,0.1,14,-0.048664341524528254,0.15947309423365064,1.5207,0.1615,-0.2718,0.1851,0.905
0.4,3,0.1,21,-0.04398206419501449,0.14719165117821875,1.5314,0.1623,-0.2718,0.1847,0.91
0.4,3,0.2,14,-0.06031928920047169,0.1735394210111476,1.5321,0.1624,-0.2718,0.1867,0.902
0.4,3,0.2,21,-0.05100145589684735,0.14948068621530175,1.556,0.1642,-0.2718,0.1852,0.916
0.4,5,0.1,14,-0.048664341524528254,0.15947309423365064,1.5182,0.1614,-0.2718,0.1851,0.904
0.4,5,0.1,21,-0.043982064195014825,0.14719165117821853,1.5256,0.1619,-0.2718,0.1846,0.908
0.4,5,0.2,14,-0.06031928920047158,0.1735394210111474,1.5317,0.1624,-0.2718,0.1866,0.902
0.4,5,0.2,21,-0.051001455896847125,0.14948068621530197,1.5489,0.1636,-0.2718,0.1852,0.914
0.4,7,0.1,14,-0.048664341524528254,0.15947309423365108,1.5121,0.1609,-0.2718,0.185,0.902
0.4,7,0.1,21,-0.043982064195014825,0.14719165117821853,1.529,0.1622,-0.2718,0.1846,0.909
0.4,7,0.2,14,-0.060319289200471804,0.1735394210111476,1.5135,0.161,-0.2718,0.1865,0.896
0.4,7,0.2,21,-0.05100145589684746,0.14948068621530153,1.5497,0.1637,-0.2718,0.1852,0.914
0.4,10,0.1,14,-0.04866434152452803,0.1594730942336513,1.5233,0.1617,-0.2718,0.1848,0.906
0.4,10,0.1,21,-0.043982064195014825,0.14719165117821897,1.5257,0.1619,-0.2718,0.1846,0.908
0.4,10,0.2,14,-0.06031928920047158,0.1735394210111474,1.5339,0.1625,-0.2718,0.1862,0.905
0.4,10,0.2,21,-0.05100145589684757,0.14948068621530153,1.541,0.1631,-0.2718,0.1851,0.912
0.4,14,0.1,14,-0.04866434152452814,0.1594730942336513,1.5127,0.1609,-0.2718,0.1848,0.903
0.4,14,0.1,21,-0.043982064195014825,0.14719165117821875,1.5097,0.1607,-0.2718,0.1845,0.903
0.4,14,0.2,14,-0.06031928920047158,0.1735394210111476,1.5195,0.1615,-0.2718,0.1861,0.9
0.4,14,0.2,21,-0.05100145589684735,0.14948068621530175,1.5157,0.1612,-0.2718,0.185,0.903
0.5,1,0.1,14,-0.04866434152452814,0.15947309423365041,1.5579,0.1643,-0.2718,0.1855,0.916
0.5,1,0.1,21,-0.043982064195014714,0.14719165117821875,1.5693,0.1651,-0.2718,0.185,0.922
0.5,1,0.2,14,-0.06031928920047169,0.17353942101114694,1.5733,0.1654,-0.2718,0.1872,0.915
0.5,1,0.2,21,-0.05100145589684735,0.14948068621530153,1.5987,0.1673,-0.2718,0.1856,0.929
0.5,2,0.1,14,-0.04866434152452814,0.15947309423365108,1.5492,0.1637,-0.2718,0.1855,0.913
0.5,2,0.1,21,-0.043982064195014825,0.14719165117821853,1.565,0.1648,-0.2718,0.185,0.92
0.5,2,0.2,14,-0.060319289200471804,0.1735394210111476,1.5576,0.1643,-0.2718,0.1871,0.909
0.5,2,0.2,21,-0.05100145589684746,0.14948068621530175,1.5917,0.1668,-0.2718,0.1856,0.927
0.5,3,0.1,14,-0.048664341524528476,0.15947309423364997,1.541,0.1631,-0.2718,0.1854,0.91
0.5,3,0.1,21,-0.0439820641950146,0.14719165117821853,1.5518,0.1639,-0.2718,0.1849,0.916
0.5,3,0.2,14,-0.060319289200471804,0.17353942101114717,1.5525,0.1639,-0.2718,0.1871,0.908
0.5,3,0.2,21,-0.05100145589684746,0.1494806862153013,1.5766,0.1657,-0.2718,0.1855,0.922
0.5,5,0.1,14,-0.04866434152452814,0.15947309423365108,1.5373,0.1628,-0.2718,0.1854,0.909
0.5,5,0.1,21,-0.04398206419501505,0.14719165117821786,1.5449,0.1633,-0.2718,0.1849,0.914
0.5,5,0.2,14,-0.06031928920047158,0.1735394210111474,1.5507,0.1638,-0.2718,0.187,0.908
0.5,5,0.2,21,-0.05100145589684746,0.14948068621530153,1.5684,0.1651,-0.2718,0.1855,0.919
0.5,7,0.1,14,-0.04866434152452814,0.15947309423365086,1.5326,0.1624,-0.2718,0.1853,0.908
0.5,7,0.1,21,-0.043982064195014825,0.14719165117821809,1.5496,0.1637,-0.2718,0.1849,0.915
0.5,7,0.2,14,-0.06031928920047158,0.17353942101114783,1.5338,0.1625,-0.2718,0.1869,0.902
0.5,7,0.2,21,-0.05100145589684757,0.1494806862153013,1.5706,0.1652,-0.2718,0.1855,0.92
0.5,10,0.1,14,-0.04866434152452792,0.1594730942336513,1.5444,0.1633,-0.2718,0.1851,0.913
0.5,10,0.1,21,-0.043982064195014714,0.14719165117821875,1.5468,0.1635,-0.2718,0.1848,0.915
0.5,10,0.2,14,-0.06031928920047158,0.17353942101114783,1.5551,0.1641,-0.2718,0.1864,0.911
0.5,10,0.2,21,-0.05100145589684735,0.1494806862153022,1.5623,0.1646,-0.2718,0.1854,0.918
0.5,14,0.1,14,-0.048664341524528254,0.15947309423365086,1.5321,0.1624,-0.2718,0.185,0.909
0.5,14,0.1,21,-0.043982064195014714,0.14719165117821875,1.529,0.1622,-0.2718,0.1847,0.909
0.5,14,0.2,14,-0.06031928920047147,0.17353942101114805,1.539,0.1629,-0.2718,0.1864,0.906
0.5,14,0.2,21,-0.05100145589684735,0.14948068621530175,1.535,0.1626,-0.2718,0.1853,0.909
