sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,71,29,0.7838,0.1229,-0.2302,0.1518,0.843,-0.2191763183160863,0.004075095084475677,0.0,36
5y,71,30,0.7871,0.1233,-0.2302,0.1518,0.845,-0.2191763183160863,0.004075095084475677,0.0,32
5y,71,31,0.803,0.1253,-0.2302,0.1519,0.856,-0.2191763183160863,0.004075095084475677,0.0,29
5y,71,32,0.7359,0.1168,-0.2325,0.1525,0.804,-0.2325442439574784,-0.013114958860246384,0.004,31
5y,71,33,0.7359,0.1168,-0.2325,0.1525,0.804,-0.2325442439574784,-0.013114958860246384,0.004,32
5y,71,34,0.7485,0.1184,-0.2325,0.153,0.811,-0.2325442439574784,-0.023463122372359813,0.006666666666666667,31
5y,71,35,0.7485,0.1184,-0.2325,0.153,0.811,-0.2325442439574784,-0.023463122372359813,0.006666666666666667,28
5y,71,36,0.7394,0.1172,-0.2325,0.153,0.804,-0.2325442439574784,-0.023463122372359813,0.006666666666666667,30
5y,71,37,0.7394,0.1172,-0.2325,0.153,0.804,-0.2325442439574784,-0.023463122372359813,0.006666666666666667,35
5y,71,38,0.7496,0.1185,-0.2325,0.153,0.812,-0.2325442439574784,-0.017751337342306495,0.005333333333333333,39
5y,71,39,0.7296,0.116,-0.2325,0.1531,0.796,-0.2325442439574784,-0.017751337342306495,0.005333333333333333,42
5y,71,40,0.7159,0.1142,-0.2325,0.1533,0.785,-0.2325442439574784,-0.017751337342306495,0.005333333333333333,44
5y,71,41,0.7779,0.1221,-0.2325,0.1571,0.815,-0.2325442439574784,-0.03794943192320188,0.016,46
5y,71,42,0.7711,0.1213,-0.2325,0.1572,0.81,-0.2325442439574784,-0.03794943192320188,0.016,42
5y,71,43,0.7711,0.1213,-0.2325,0.1572,0.81,-0.2325442439574784,-0.03794943192320188,0.016,40
5y,71,44,0.7818,0.1226,-0.2325,0.1576,0.816,-0.2325442439574784,-0.03216210309628309,0.010666666666666666,39
5y,71,45,0.7818,0.1226,-0.2325,0.1576,0.816,-0.2325442439574784,-0.03216210309628309,0.010666666666666666,38
5y,72,15,0.3992,0.0696,-0.1532,0.1167,0.637,-0.15158423658094922,-0.057130109445932886,0.09066666666666667,14
5y,72,16,0.3992,0.0696,-0.1532,0.1167,0.637,-0.15158423658094922,-0.057130109445932886,0.09066666666666667,15
5y,72,17,0.4606,0.0788,-0.1558,0.1206,0.692,-0.15158423658094922,-0.057130109445932886,0.08,21
5y,72,18,0.4606,0.0788,-0.1558,0.1206,0.692,-0.15158423658094922,-0.057130109445932886,0.08,21
5y,72,19,0.4716,0.0804,-0.1558,0.1207,0.704,-0.1515842365809491,-0.057130109445932775,0.08,20
5y,72,20,0.472,0.0805,-0.1831,0.1261,0.68,-0.1515842365809491,-0.057130109445932775,0.08,20
5y,72,21,0.5693,0.0944,-0.2302,0.142,0.709,-0.20800489824426305,-0.07263437161902775,0.03333333333333333,24
5y,72,22,0.5693,0.0944,-0.2302,0.142,0.709,-0.20800489824426305,-0.07263437161902775,0.03333333333333333,25
5y,72,23,0.7037,0.1126,-0.2302,0.1462,0.806,-0.2024430547973456,0.00027261454866445156,0.0,29
5y,72,24,0.7428,0.1177,-0.2302,0.1467,0.835,-0.2024430547973456,0.019425985443185967,0.0,31
5y,72,25,0.7393,0.1172,-0.2302,0.147,0.831,-0.2091429059016997,0.017378049639356297,0.0,29
5y,72,26,0.7393,0.1172,-0.2302,0.147,0.831,-0.2091429059016997,0.017378049639356297,0.0,29
5y,72,27,0.7676,0.1208,-0.2302,0.1473,0.852,-0.2091429059016997,0.033946523314630106,0.0,33
5y,72,28,0.8882,0.1357,-0.2302,0.1536,0.909,-0.2091429059016997,0.033946523314630106,0.0,37
5y,72,29,0.8857,0.1354,-0.2302,0.1536,0.908,-0.2091429059016997,0.033946523314630106,0.0,36
5y,72,30,0.8891,0.1358,-0.2302,0.1536,0.91,-0.2091429059016997,0.033946523314630106,0.0,32
5y,72,31,0.9039,0.1376,-0.2302,0.1537,0.92,-0.2091429059016997,0.033946523314630106,0.0,29
5y,72,32,0.8213,0.1276,-0.2302,0.1544,0.859,-0.22922958319196407,0.0076857104519838515,0.0,31
5y,72,33,0.8213,0.1276,-0.2302,0.1544,0.859,-0.22922958319196407,0.0076857104519838515,0.0,32
5y,72,34,0.8146,0.1267,-0.2302,0.1546,0.853,-0.22922958319196407,-0.0028805622807899223,0.0013333333333333333,31
5y,72,35,0.8146,0.1267,-0.2302,0.1546,0.853,-0.22922958319196407,-0.0028805622807899223,0.0013333333333333333,28
5y,72,36,0.8061,0.1257,-0.2302,0.1546,0.847,-0.22922958319196407,-0.0028805622807899223,0.0013333333333333333,30
5y,72,37,0.8061,0.1257,-0.2302,0.1546,0.847,-0.22922958319196407,-0.0028805622807899223,0.0013333333333333333,35
5y,72,38,0.8186,0.1272,-0.2302,0.1546,0.855,-0.22922958319196407,0.004044693064685578,0.0,39
5y,72,39,0.7999,0.1249,-0.2302,0.1547,0.842,-0.22922958319196407,0.004044693064685578,0.0,42
5y,72,40,0.7999,0.1249,-0.2302,0.1547,0.842,-0.22922958319196407,0.004044693064685578,0.0,44
5y,72,41,0.8541,0.1316,-0.2302,0.1584,0.863,-0.22922958319196407,-0.01660159584864851,0.005333333333333333,46
5y,72,42,0.8541,0.1316,-0.2302,0.1584,0.863,-0.22922958319196407,-0.01660159584864851,0.005333333333333333,42
5y,72,43,0.8541,0.1316,-0.2302,0.1584,0.863,-0.22922958319196407,-0.01660159584864851,0.005333333333333333,40
5y,72,44,0.8652,0.133,-0.2302,0.1589,0.869,-0.22922958319196407,-0.010685846592278225,0.004,39
5y,72,45,0.8652,0.133,-0.2302,0.1589,0.869,-0.22922958319196407,-0.010685846592278225,0.004,38
