sample,candidate,resell,sell_fraction,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,r2_win
2011,B,77,0.5,7.2295,0.1436,-0.3565,0.1892,0.806,-0.3474331780394059,-0.19045338479838458,0.08096343586767267,0.4065583284968079
2011,C,65,1.0,3.4118,0.0991,-0.2718,0.1684,0.647,-0.051332795661392816,-0.1637383554327988,0.012188044109112013,0.15409170052234475
2011,C,65,0.5,4.1599,0.1101,-0.2864,0.1728,0.693,-0.19589747981264338,-0.1267990604583461,0.027858386535113175,0.14799767846778875
2011,C,77,1.0,6.1482,0.1334,-0.3565,0.1863,0.767,-0.3304538683278717,-0.1673175387028516,0.05165409170052235,0.3807312826465467
2011,C,77,0.5,7.2462,0.1438,-0.3565,0.1891,0.807,-0.3474331780394059,-0.1904533847983848,0.08096343586767267,0.4068485200232153
2011,D,65,1.0,3.4347,0.0995,-0.2718,0.1685,0.648,-0.05133279566139248,-0.1637383554327989,0.012188044109112013,0.15409170052234475
2011,D,65,0.5,4.1677,0.1102,-0.2864,0.1729,0.693,-0.19589747981264338,-0.1267990604583461,0.027858386535113175,0.14799767846778875
2011,D,77,1.0,6.1236,0.1332,-0.3565,0.1863,0.766,-0.3304538683278717,-0.16731753870285127,0.05165409170052235,0.3807312826465467
2011,D,77,0.5,7.2177,0.1435,-0.3565,0.1891,0.806,-0.3474331780394059,-0.1904533847983848,0.08096343586767267,0.4068485200232153
2011,E,65,1.0,3.3685,0.0984,-0.2718,0.1688,0.642,-0.060996069587649915,-0.16547426416748812,0.012478235635519443,0.15089959373186304
2011,E,65,0.5,4.1939,0.1106,-0.2864,0.1736,0.693,-0.20168228134634658,-0.13118171918570143,0.02959953569355775,0.14016250725478815
2011,E,77,1.0,6.334,0.1353,-0.3565,0.1866,0.775,-0.3304538683278717,-0.16368795375738188,0.04933255948926291,0.3798607080673244
2011,E,77,0.5,7.3727,0.1449,-0.3565,0.1899,0.809,-0.34743317803940577,-0.1871190657164581,0.0812536273940801,0.3842135809634359
2011,F,65,1.0,3.4228,0.0993,-0.2718,0.1685,0.647,-0.051332795661392594,-0.16373835543279902,0.012188044109112013,0.15409170052234475
2011,F,65,0.5,4.1538,0.11,-0.2864,0.1729,0.692,-0.19589747981264338,-0.12679906045834644,0.027858386535113175,0.14799767846778875
2011,F,77,1.0,6.1044,0.133,-0.3565,0.1863,0.765,-0.3304538683278717,-0.1673175387028515,0.05165409170052235,0.3807312826465467
2011,F,77,0.5,7.1956,0.1433,-0.3565,0.1891,0.805,-0.347433178039406,-0.19045338479838492,0.08096343586767267,0.4068485200232153
2011,G,65,1.0,3.3526,0.0982,-0.2718,0.1687,0.641,-0.06099606958765025,-0.16547426416748823,0.012478235635519443,0.15089959373186304
2011,G,65,0.5,4.1749,0.1103,-0.2864,0.1736,0.691,-0.2016822813463468,-0.13118171918570143,0.02959953569355775,0.14016250725478815
2011,G,77,1.0,6.3073,0.135,-0.3565,0.1865,0.774,-0.3304538683278716,-0.16368795375738177,0.04933255948926291,0.3798607080673244
2011,G,77,0.5,7.3422,0.1446,-0.3565,0.1899,0.808,-0.3474331780394059,-0.18711906571645853,0.0812536273940801,0.3842135809634359
2011,H,79,1.0,5.7751,0.1295,-0.364,0.1928,0.73,-0.36395279909120204,-0.23267225502756705,0.0742890307603018,0.3377829367382472
2011,H,79,0.5,7.0529,0.142,-0.364,0.1942,0.783,-0.36395279909120204,-0.21924974961306964,0.08850841555426582,0.3702843876958793
2011,H,77,1.0,6.1757,0.1337,-0.3565,0.1863,0.768,-0.3304538683278716,-0.1673175387028516,0.04991294254207777,0.3862449216482879
2011,H,77,0.5,7.2952,0.1442,-0.3565,0.1892,0.809,-0.3474331780394059,-0.19045338479838458,0.08096343586767267,0.4158444573418456
