sample,strategy,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r1_mean,r1_worst,r1_neg,r1_win,r2_mean,r2_worst,r2_neg,r2_win
5y,Buy&Hold,0.8025,0.1252,-0.364,0.2285,0.633,-0.36395279909120204,0.1791865681518825,-0.3528404878542909,0.16167664670658682,0.0,0.44884131310842806,-0.17279501718524914,0.10533333333333333,0.0
5y,"H (79, 21일/10%)",0.9949,0.1483,-0.364,0.2191,0.743,-0.36395279909120204,0.2041714862803569,-0.3528404878542909,0.15169660678642716,0.5289421157684631,0.505554928203356,-0.06845849302171936,0.02666666666666667,0.7653333333333333
5y,I (H+매도50%),0.9481,0.1429,-0.364,0.2201,0.719,-0.36395279909120204,0.19729713184423428,-0.3528404878542909,0.15568862275449102,0.5459081836327345,0.4944435645589206,-0.10481040640009998,0.058666666666666666,0.772
5y,I 42일/75%,0.9763,0.1462,-0.364,0.2199,0.733,-0.36395279909120204,0.20197916199655924,-0.3528404878542909,0.15469061876247506,0.5558882235528942,0.5080947911430356,-0.09635098424215505,0.052,0.7853333333333333
5y,H 77,0.8576,0.132,-0.3565,0.2159,0.685,-0.3304538683278717,0.1761048103407178,-0.352840487854291,0.15169660678642716,0.4491017964071856,0.45602966471554146,-0.0506469699946972,0.021333333333333333,0.5226666666666666
5y,I 77,0.8823,0.135,-0.3565,0.2179,0.693,-0.3474331780394059,0.18310280175732283,-0.352840487854291,0.15568862275449102,0.49001996007984033,0.46666482497913186,-0.09540549087107131,0.05466666666666667,0.6613333333333333
5y,H + 탐욕소진(전량),1.2825,0.1797,-0.2432,0.1655,1.085,-0.14252087795894364,0.21373966292193938,-0.14252087795894364,0.08682634730538923,0.4720558882235529,0.49955484304352604,0.08588103389559976,0.0,0.5093333333333333
5y,I + 탐욕소진(전량),1.2241,0.1736,-0.2432,0.1669,1.047,-0.14252087795894364,0.2061060588086274,-0.14252087795894364,0.08682634730538923,0.43812375249500995,0.48640803104450425,0.04125792497957037,0.0,0.46266666666666667
5y,I + 탐욕소진(50%),1.1002,0.1602,-0.2495,0.179,0.923,-0.24949068635810911,0.2021496429231879,-0.23714406286596568,0.14171656686626746,0.5718562874251497,0.491699877986049,-0.021564907708703118,0.013333333333333334,0.7106666666666667
5y,I 77 + 탐욕소진(전량),1.149,0.1655,-0.2432,0.164,1.02,-0.12025015632742708,0.1921486391140007,-0.13246206506577274,0.08682634730538923,0.34930139720558884,0.45895999658265996,0.05219744315357344,0.0,0.3586666666666667
5y,I 77 + 탐욕소진(50%),1.0293,0.1522,-0.2432,0.1764,0.895,-0.22999821875587323,0.18807631633169616,-0.23640776149553833,0.14171656686626746,0.4411177644710579,0.46408326673048833,-0.01128540998059413,0.006666666666666667,0.48533333333333334
5y,I 42일/75% + 77 + 탐욕소진(50%),1.0759,0.1575,-0.2432,0.1767,0.92,-0.22999821875587323,0.19521422042161093,-0.23640776149553833,0.13972055888223553,0.5099800399201597,0.4809111814773264,-0.0004597106966922615,0.0013333333333333333,0.6506666666666666
2011,Buy&Hold,8.8541,0.1568,-0.364,0.2052,0.815,-0.36395279909120204,0.17520056027681422,-0.352840487854291,0.13710113574905355,0.0,0.3709840577905027,-0.20823648653047766,0.09663377829367382,0.0
2011,"H (79, 21일/10%)",5.7751,0.1295,-0.364,0.1928,0.73,-0.36395279909120204,0.1459671946955971,-0.3528404878542909,0.18550567874526772,0.26284478096268254,0.3073344967464808,-0.23267225502756705,0.0742890307603018,0.3377829367382472
2011,I (H+매도50%),7.0529,0.142,-0.364,0.1942,0.783,-0.36395279909120204,0.15967600603144624,-0.352840487854291,0.15305570578691186,0.29745808545159547,0.3357371571594081,-0.21924974961306964,0.08850841555426582,0.3702843876958793
2011,I 42일/75%,7.4563,0.1456,-0.364,0.1944,0.798,-0.36395279909120204,0.16344068768063716,-0.352840487854291,0.14575446187128177,0.31151974040021635,0.3447051392769599,-0.2208112632689616,0.08618688334300638,0.3833430063842136
2011,H 77,6.1757,0.1337,-0.3565,0.1863,0.768,-0.3304538683278716,0.15169165803608675,-0.3528404878542909,0.1795565170362358,0.3910221741481882,0.3307761712961508,-0.1673175387028516,0.04991294254207777,0.3862449216482879
2011,I 77,7.2952,0.1442,-0.3565,0.1892,0.809,-0.3474331780394059,0.16303645578548384,-0.3528404878542909,0.16846944294213087,0.42130881557598704,0.35000279608652857,-0.19045338479838458,0.08096343586767267,0.4158444573418456
2011,H + 탐욕소진(전량),4.6031,0.116,-0.2432,0.1537,0.792,-0.14252087795894364,0.12913959161716973,-0.16965315518844326,0.23309897241752298,0.2506760411032991,0.27732018383192386,-0.11259587329091991,0.07167730702263495,0.2817759721416135
2011,I + 탐욕소진(전량),5.4659,0.1262,-0.2432,0.1552,0.845,-0.14252087795894364,0.14003093204035602,-0.14457676459144353,0.21606273661438616,0.24067063277447268,0.2985809263597181,-0.09717590550848809,0.03627394080092861,0.2666860127684272
2011,I + 탐욕소진(50%),6.0658,0.1326,-0.2495,0.1644,0.841,-0.24949068635810911,0.14736089635166766,-0.23714406286596568,0.20849107625743646,0.28474851270957274,0.3113725337515695,-0.09076875770499349,0.03569355774811375,0.3192106790481718
2011,I 77 + 탐욕소진(전량),6.0082,0.132,-0.2432,0.1493,0.907,-0.12025015632742697,0.14709996803747039,-0.13246206506577274,0.19524067063277448,0.2944835045970795,0.31895775910359775,-0.08102834807698389,0.032791642484039464,0.267266395821242
2011,I 77 + 탐욕소진(50%),6.6584,0.1384,-0.2432,0.1588,0.898,-0.22999821875587323,0.15447174673311181,-0.23640776149553833,0.18685776095186588,0.32828555976203355,0.3317201023581696,-0.07450660454242719,0.020023215322112594,0.3020893789901335
2011,I 42일/75% + 77 + 탐욕소진(50%),6.6684,0.1385,-0.2432,0.1593,0.896,-0.22999821875587312,0.15452432064631644,-0.23640776149553833,0.1879394267171444,0.335316387236344,0.33079489865914874,-0.06963969090753919,0.028148578061520605,0.332849680789321
