base,resell_level,crash_level,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
B,85,40,0.8002,0.1249,-0.364,0.2285,0.632
B,90,10,0.8135,0.1266,-0.364,0.228,0.639
B,90,15,0.8002,0.1249,-0.364,0.2285,0.632
B,90,20,0.8002,0.1249,-0.364,0.2285,0.632
B,90,25,0.8002,0.1249,-0.364,0.2285,0.632
B,90,30,0.8002,0.1249,-0.364,0.2285,0.632
B,90,35,0.8002,0.1249,-0.364,0.2285,0.632
B,90,40,0.8002,0.1249,-0.364,0.2285,0.632
C,55,10,0.4094,0.0711,-0.1357,0.1086,0.689
C,55,15,0.1696,0.0319,-0.1999,0.1327,0.303
C,55,20,0.2862,0.0517,-0.2387,0.1559,0.402
C,55,25,0.4583,0.0785,-0.2387,0.1684,0.534
C,55,30,0.5865,0.0968,-0.2387,0.1723,0.625
C,55,35,0.4253,0.0735,-0.2387,0.1758,0.493
C,55,40,0.4133,0.0717,-0.2387,0.1848,0.469
C,60,10,0.4803,0.0817,-0.1357,0.1123,0.758
C,60,15,0.2244,0.0414,-0.2119,0.1357,0.367
C,60,20,0.2906,0.0524,-0.2536,0.1596,0.401
C,60,25,0.466,0.0796,-0.2536,0.1718,0.533
C,60,30,0.5934,0.0978,-0.2536,0.1756,0.621
C,60,35,0.4369,0.0753,-0.2459,0.179,0.496
C,60,40,0.3437,0.0609,-0.2387,0.1891,0.408
C,65,10,0.6218,0.1017,-0.151,0.1179,0.883
C,65,15,0.4115,0.0714,-0.1999,0.1454,0.549
C,65,20,0.3675,0.0647,-0.2718,0.1714,0.452
C,65,25,0.5384,0.0901,-0.2718,0.1835,0.563
C,65,30,0.6516,0.1057,-0.2718,0.1912,0.623
C,65,35,0.5634,0.0936,-0.2718,0.1935,0.561
C,65,40,0.5588,0.093,-0.2718,0.1986,0.548
C,70,10,0.3445,0.0611,-0.2138,0.1511,0.469
C,70,15,0.1735,0.0326,-0.2294,0.161,0.28
C,70,20,0.1793,0.0336,-0.294,0.1821,0.273
C,70,25,0.3161,0.0565,-0.3497,0.198,0.378
C,70,30,0.4376,0.0754,-0.3497,0.2044,0.459
C,70,35,0.3947,0.0689,-0.3497,0.2054,0.428
C,70,40,0.5049,0.0853,-0.3497,0.2086,0.498
C,75,10,0.4263,0.0737,-0.2432,0.176,0.493
C,75,15,0.3623,0.0639,-0.2432,0.179,0.436
C,75,20,0.4017,0.07,-0.294,0.1953,0.445
C,75,25,0.5236,0.088,-0.3497,0.2072,0.512
C,75,30,0.6594,0.1067,-0.3497,0.2116,0.587
C,75,35,0.5637,0.0937,-0.3608,0.2123,0.529
C,75,40,0.7697,0.1211,-0.3608,0.2157,0.64
C,80,10,0.4306,0.0743,-0.364,0.2091,0.449
C,80,15,0.4115,0.0715,-0.364,0.2096,0.435
C,80,20,0.454,0.0778,-0.364,0.2108,0.462
C,80,25,0.792,0.1239,-0.364,0.2165,0.65
C,80,30,0.9168,0.1392,-0.364,0.2198,0.705
C,80,35,0.8802,0.1348,-0.364,0.2202,0.687
C,80,40,0.8733,0.1339,-0.364,0.2203,0.683
C,85,10,0.8127,0.1265,-0.364,0.228,0.638
C,85,15,0.7885,0.1235,-0.364,0.2284,0.626
C,85,20,0.7885,0.1235,-0.364,0.2284,0.626
C,85,25,0.7885,0.1235,-0.364,0.2284,0.626
C,85,30,0.7885,0.1235,-0.364,0.2284,0.626
C,85,35,0.7885,0.1235,-0.364,0.2284,0.626
C,85,40,0.7885,0.1235,-0.364,0.2284,0.626
C,90,10,0.8127,0.1265,-0.364,0.228,0.638
C,90,15,0.7885,0.1235,-0.364,0.2284,0.626
C,90,20,0.7885,0.1235,-0.364,0.2284,0.626
C,90,25,0.7885,0.1235,-0.364,0.2284,0.626
C,90,30,0.7885,0.1235,-0.364,0.2284,0.626
C,90,35,0.7885,0.1235,-0.364,0.2284,0.626
C,90,40,0.7885,0.1235,-0.364,0.2284,0.626
D,55,10,0.4033,0.0702,-0.1357,0.1086,0.681
D,55,15,0.183,0.0342,-0.1999,0.132,0.321
D,55,20,0.301,0.0541,-0.2387,0.1554,0.418
D,55,25,0.4477,0.0769,-0.2387,0.1683,0.526
D,55,30,0.575,0.0952,-0.2387,0.1722,0.616
D,55,35,0.415,0.072,-0.2387,0.1757,0.485
D,55,40,0.403,0.0702,-0.2387,0.1847,0.461
D,60,10,0.4739,0.0808,-0.1357,0.1123,0.75
D,60,15,0.2384,0.0438,-0.2119,0.1351,0.385
D,60,20,0.3054,0.0548,-0.2536,0.159,0.416
D,60,25,0.4554,0.078,-0.2536,0.1717,0.525
D,60,30,0.5818,0.0962,-0.2536,0.1755,0.613
D,60,35,0.4265,0.0737,-0.2459,0.1789,0.488
D,60,40,0.3339,0.0594,-0.2387,0.189,0.401
D,65,10,0.6148,0.1007,-0.151,0.1178,0.876
D,65,15,0.4277,0.0739,-0.1999,0.1448,0.566
D,65,20,0.3832,0.0671,-0.2718,0.171,0.467
D,65,25,0.5273,0.0885,-0.2718,0.1834,0.556
D,65,30,0.6397,0.1041,-0.2718,0.1912,0.616
D,65,35,0.5521,0.092,-0.2718,0.1934,0.553
D,65,40,0.5475,0.0914,-0.2718,0.1986,0.541
D,70,10,0.3387,0.0602,-0.2138,0.1511,0.463
D,70,15,0.187,0.0349,-0.2294,0.1605,0.295
D,70,20,0.1928,0.0359,-0.294,0.1816,0.286
D,70,25,0.3066,0.055,-0.3497,0.1979,0.37
D,70,30,0.4272,0.0738,-0.3497,0.2043,0.452
D,70,35,0.3846,0.0673,-0.3497,0.2054,0.421
D,70,40,0.494,0.0837,-0.3497,0.2086,0.491
D,75,10,0.4202,0.0728,-0.2432,0.176,0.488
D,75,15,0.3779,0.0663,-0.2432,0.1786,0.45
D,75,20,0.4177,0.0724,-0.294,0.1949,0.457
D,75,25,0.5125,0.0864,-0.3497,0.2071,0.505
D,75,30,0.6474,0.1051,-0.3497,0.2115,0.58
D,75,35,0.5524,0.0921,-0.3608,0.2122,0.523
D,75,40,0.7569,0.1195,-0.3608,0.2156,0.633
D,80,10,0.4245,0.0734,-0.364,0.2091,0.445
D,80,15,0.4277,0.0739,-0.364,0.2092,0.447
D,80,20,0.4707,0.0803,-0.364,0.2104,0.474
D,80,25,0.7791,0.1223,-0.364,0.2165,0.643
D,80,30,0.9029,0.1375,-0.364,0.2198,0.698
D,80,35,0.8666,0.1331,-0.364,0.2201,0.68
D,80,40,0.8597,0.1323,-0.364,0.2202,0.677
D,85,10,0.8049,0.1255,-0.364,0.228,0.635
D,85,15,0.809,0.126,-0.364,0.2281,0.637
D,85,20,0.809,0.126,-0.364,0.2281,0.637
D,85,25,0.7755,0.1218,-0.364,0.2284,0.62
D,85,30,0.7755,0.1218,-0.364,0.2284,0.62
D,85,35,0.7755,0.1218,-0.364,0.2284,0.62
D,85,40,0.7755,0.1218,-0.364,0.2284,0.62
D,90,10,0.8049,0.1255,-0.364,0.228,0.635
D,90,15,0.809,0.126,-0.364,0.2281,0.637
D,90,20,0.809,0.126,-0.364,0.2281,0.637
D,90,25,0.7755,0.1218,-0.364,0.2284,0.62
D,90,30,0.7755,0.1218,-0.364,0.2284,0.62
D,90,35,0.7755,0.1218,-0.364,0.2284,0.62
D,90,40,0.7755,0.1218,-0.364,0.2284,0.62
E,55,10,0.379,0.0665,-0.1357,0.1115,0.635
E,55,15,0.2049,0.038,-0.2047,0.133,0.348
E,55,20,0.312,0.0559,-0.2387,0.1556,0.428
E,55,25,0.4563,0.0782,-0.2387,0.1684,0.533
E,55,30,0.5744,0.0951,-0.2387,0.1722,0.616
E,55,35,0.4194,0.0726,-0.2387,0.1757,0.488
E,55,40,0.4048,0.0704,-0.2387,0.1847,0.462
E,60,10,0.4384,0.0755,-0.1509,0.1176,0.68
E,60,15,0.2716,0.0493,-0.2244,0.1372,0.42
E,60,20,0.3337,0.0594,-0.2563,0.1598,0.442
E,60,25,0.4666,0.0797,-0.2563,0.172,0.533
E,60,30,0.5799,0.0959,-0.2563,0.1757,0.611
E,60,35,0.4269,0.0738,-0.2494,0.1791,0.488
E,60,40,0.3487,0.0617,-0.2387,0.1891,0.412
E,65,10,0.5368,0.0899,-0.1824,0.1269,0.744
E,65,15,0.4167,0.0722,-0.2096,0.1492,0.544
E,65,20,0.3766,0.0661,-0.2718,0.1723,0.459
E,65,25,0.508,0.0857,-0.2718,0.1842,0.54
E,65,30,0.6299,0.1028,-0.2718,0.1913,0.609
E,65,35,0.5404,0.0904,-0.2718,0.1936,0.545
E,65,40,0.5308,0.089,-0.2718,0.1986,0.53
E,70,10,0.323,0.0576,-0.2391,0.16,0.431
E,70,15,0.2296,0.0422,-0.2516,0.1663,0.333
E,70,20,0.24,0.044,-0.294,0.1835,0.327
E,70,25,0.3177,0.0568,-0.3497,0.1985,0.378
E,70,30,0.4528,0.0777,-0.3497,0.2044,0.469
E,70,35,0.4097,0.0712,-0.3497,0.2055,0.439
E,70,40,0.5076,0.0857,-0.3497,0.2086,0.5
E,75,10,0.4604,0.0788,-0.2527,0.1842,0.505
E,75,15,0.4434,0.0763,-0.2647,0.1856,0.49
E,75,20,0.4619,0.079,-0.294,0.1968,0.486
E,75,25,0.5258,0.0883,-0.3497,0.208,0.512
E,75,30,0.6778,0.1092,-0.3497,0.2117,0.597
E,75,35,0.5843,0.0965,-0.3608,0.2124,0.542
E,75,40,0.7748,0.1217,-0.3608,0.2157,0.642
E,80,10,0.5403,0.0904,-0.364,0.2136,0.513
E,80,15,0.5438,0.0909,-0.364,0.2136,0.515
E,80,20,0.5438,0.0909,-0.364,0.2136,0.515
E,80,25,0.7838,0.1229,-0.364,0.2189,0.641
E,80,30,0.8983,0.1369,-0.364,0.22,0.696
E,80,35,0.8682,0.1333,-0.364,0.2203,0.68
E,80,40,0.867,0.1332,-0.364,0.2204,0.68
E,85,10,0.8049,0.1255,-0.364,0.228,0.635
E,85,15,0.809,0.126,-0.364,0.2281,0.637
E,85,20,0.809,0.126,-0.364,0.2281,0.637
E,85,25,0.7755,0.1218,-0.364,0.2284,0.62
E,85,30,0.7755,0.1218,-0.364,0.2284,0.62
E,85,35,0.7755,0.1218,-0.364,0.2284,0.62
E,85,40,0.7755,0.1218,-0.364,0.2284,0.62
E,90,10,0.8049,0.1255,-0.364,0.228,0.635
E,90,15,0.809,0.126,-0.364,0.2281,0.637
E,90,20,0.809,0.126,-0.364,0.2281,0.637
E,90,25,0.7755,0.1218,-0.364,0.2284,0.62
E,90,30,0.7755,0.1218,-0.364,0.2284,0.62
E,90,35,0.7755,0.1218,-0.364,0.2284,0.62
E,90,40,0.7755,0.1218,-0.364,0.2284,0.62
F,55,10,0.4165,0.0722,-0.1357,0.108,0.701
F,55,15,0.1914,0.0357,-0.1999,0.1315,0.333
F,55,20,0.3202,0.0572,-0.2387,0.155,0.437
F,55,25,0.4968,0.0841,-0.2387,0.1676,0.568
F,55,30,0.6284,0.1026,-0.2387,0.1715,0.657
F,55,35,0.463,0.0792,-0.2387,0.175,0.524
F,55,40,0.4506,0.0773,-0.2387,0.184,0.498
F,60,10,0.4878,0.0828,-0.1357,0.1117,0.77
F,60,15,0.2473,0.0452,-0.2119,0.1346,0.397
F,60,20,0.3247,0.0579,-0.2536,0.1587,0.435
F,60,25,0.5048,0.0853,-0.2536,0.1709,0.566
F,60,30,0.6355,0.1035,-0.2536,0.1748,0.653
F,60,35,0.4749,0.0809,-0.2459,0.1782,0.527
F,60,40,0.3792,0.0665,-0.2387,0.1884,0.437
F,65,10,0.6301,0.1028,-0.151,0.1173,0.896
F,65,15,0.4379,0.0754,-0.1999,0.1444,0.578
F,65,20,0.4036,0.0703,-0.2718,0.1706,0.484
F,65,25,0.5791,0.0958,-0.2718,0.1827,0.594
F,65,30,0.6953,0.1115,-0.2718,0.1905,0.652
F,65,35,0.6047,0.0993,-0.2718,0.1928,0.589
F,65,40,0.6,0.0987,-0.2718,0.1979,0.576
F,70,10,0.3513,0.0621,-0.2138,0.1506,0.477
F,70,15,0.1955,0.0364,-0.2294,0.16,0.304
F,70,20,0.2105,0.039,-0.294,0.1813,0.302
F,70,25,0.3509,0.0621,-0.3497,0.1973,0.405
F,70,30,0.4756,0.081,-0.3497,0.2037,0.486
F,70,35,0.4315,0.0745,-0.3497,0.2048,0.454
F,70,40,0.5446,0.091,-0.3497,0.208,0.524
F,75,10,0.4336,0.0748,-0.2432,0.1756,0.5
F,75,15,0.3877,0.0678,-0.2432,0.1782,0.459
F,75,20,0.4387,0.0756,-0.294,0.1946,0.473
F,75,25,0.5638,0.0937,-0.3497,0.2065,0.538
F,75,30,0.7033,0.1125,-0.3497,0.2109,0.613
F,75,35,0.605,0.0994,-0.3608,0.2116,0.555
F,75,40,0.8165,0.127,-0.3608,0.215,0.666
F,80,10,0.4379,0.0754,-0.364,0.2088,0.454
F,80,15,0.4379,0.0754,-0.364,0.2088,0.454
F,80,20,0.4924,0.0835,-0.364,0.2101,0.488
F,80,25,0.8394,0.1298,-0.364,0.2159,0.675
F,80,30,0.9674,0.1451,-0.364,0.2192,0.73
F,80,35,0.9299,0.1407,-0.364,0.2195,0.712
F,80,40,0.9228,0.1399,-0.364,0.2196,0.708
F,85,10,0.8219,0.1276,-0.364,0.2278,0.643
F,85,15,0.8219,0.1276,-0.364,0.2278,0.643
F,85,20,0.8357,0.1293,-0.364,0.2278,0.65
F,85,25,0.8357,0.1293,-0.364,0.2278,0.65
F,85,30,0.8357,0.1293,-0.364,0.2278,0.65
F,85,35,0.8357,0.1293,-0.364,0.2278,0.65
F,85,40,0.8357,0.1293,-0.364,0.2278,0.65
F,90,10,0.8219,0.1276,-0.364,0.2278,0.643
F,90,15,0.8219,0.1276,-0.364,0.2278,0.643
F,90,20,0.8357,0.1293,-0.364,0.2278,0.65
F,90,25,0.8357,0.1293,-0.364,0.2278,0.65
F,90,30,0.8357,0.1293,-0.364,0.2278,0.65
F,90,35,0.8357,0.1293,-0.364,0.2278,0.65
F,90,40,0.8357,0.1293,-0.364,0.2278,0.65
G,55,10,0.392,0.0685,-0.1357,0.1109,0.654
G,55,15,0.2135,0.0395,-0.2047,0.1324,0.36
G,55,20,0.3314,0.059,-0.2387,0.1553,0.448
G,55,25,0.5057,0.0854,-0.2387,0.1676,0.575
G,55,30,0.6278,0.1025,-0.2387,0.1715,0.657
G,55,35,0.4675,0.0798,-0.2387,0.175,0.528
G,55,40,0.4525,0.0776,-0.2387,0.184,0.5
G,60,10,0.452,0.0775,-0.1509,0.1171,0.698
G,60,15,0.2807,0.0508,-0.2244,0.1367,0.432
G,60,20,0.3534,0.0625,-0.2563,0.1594,0.461
G,60,25,0.5163,0.0869,-0.2563,0.1712,0.574
G,60,30,0.6334,0.1032,-0.2563,0.175,0.651
G,60,35,0.4753,0.081,-0.2494,0.1784,0.527
G,60,40,0.3944,0.0688,-0.2387,0.1884,0.449
G,65,10,0.5512,0.0919,-0.1824,0.1264,0.761
G,65,15,0.4269,0.0738,-0.2096,0.1488,0.554
G,65,20,0.3969,0.0692,-0.2718,0.172,0.476
G,65,25,0.5592,0.093,-0.2718,0.1836,0.578
G,65,30,0.6852,0.1102,-0.2718,0.1906,0.646
G,65,35,0.5926,0.0977,-0.2718,0.1929,0.581
G,65,40,0.5827,0.0963,-0.2718,0.198,0.565
G,70,10,0.3354,0.0596,-0.2391,0.1596,0.444
G,70,15,0.2383,0.0437,-0.2516,0.1658,0.342
G,70,20,0.2584,0.0471,-0.294,0.1832,0.343
G,70,25,0.3624,0.0639,-0.3497,0.1979,0.413
G,70,30,0.5021,0.0849,-0.3497,0.2038,0.503
G,70,35,0.4575,0.0784,-0.3497,0.2049,0.472
G,70,40,0.5587,0.093,-0.3497,0.208,0.533
G,75,10,0.4742,0.0808,-0.2527,0.1839,0.516
G,75,15,0.4537,0.0778,-0.2647,0.1852,0.499
G,75,20,0.4835,0.0822,-0.294,0.1965,0.502
G,75,25,0.5776,0.0956,-0.3497,0.2074,0.545
G,75,30,0.7346,0.1166,-0.3497,0.2111,0.63
G,75,35,0.6381,0.1039,-0.3608,0.2118,0.574
G,75,40,0.835,0.1293,-0.3608,0.2151,0.675
G,80,10,0.5548,0.0924,-0.364,0.2133,0.523
G,80,15,0.5548,0.0924,-0.364,0.2133,0.523
G,80,20,0.5666,0.0941,-0.364,0.2133,0.53
G,80,25,0.8443,0.1304,-0.364,0.2183,0.673
G,80,30,0.9626,0.1446,-0.364,0.2195,0.728
G,80,35,0.9316,0.1409,-0.364,0.2198,0.712
G,80,40,0.9303,0.1408,-0.364,0.2198,0.711
G,85,10,0.8219,0.1276,-0.364,0.2278,0.643
G,85,15,0.8219,0.1276,-0.364,0.2278,0.643
G,85,20,0.8357,0.1293,-0.364,0.2278,0.65
G,85,25,0.8357,0.1293,-0.364,0.2278,0.65
G,85,30,0.8357,0.1293,-0.364,0.2278,0.65
G,85,35,0.8357,0.1293,-0.364,0.2278,0.65
G,85,40,0.8357,0.1293,-0.364,0.2278,0.65
G,90,10,0.8219,0.1276,-0.364,0.2278,0.643
G,90,15,0.8219,0.1276,-0.364,0.2278,0.643
G,90,20,0.8357,0.1293,-0.364,0.2278,0.65
G,90,25,0.8357,0.1293,-0.364,0.2278,0.65
G,90,30,0.8357,0.1293,-0.364,0.2278,0.65
G,90,35,0.8357,0.1293,-0.364,0.2278,0.65
G,90,40,0.8357,0.1293,-0.364,0.2278,0.65
