base,resell_level,crash_level,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
A,70,15,0.75,0.2201,0.0406,-0.2801,0.1762,0.315
A,70,15,1.0,0.2189,0.0404,-0.2801,0.1764,0.314
A,70,20,0.25,0.2314,0.0426,-0.2928,0.1798,0.322
A,70,20,0.5,0.2259,0.0416,-0.294,0.1838,0.314
A,70,20,0.75,0.2258,0.0416,-0.294,0.1859,0.313
A,70,20,1.0,0.2364,0.0434,-0.294,0.187,0.321
A,70,25,0.25,0.2495,0.0456,-0.3304,0.1898,0.331
A,70,25,0.5,0.2828,0.0511,-0.3476,0.1964,0.353
A,70,25,0.75,0.3194,0.0571,-0.3496,0.1992,0.379
A,70,25,1.0,0.3246,0.0579,-0.3497,0.2005,0.382
A,70,30,0.25,0.3244,0.0579,-0.3325,0.1983,0.384
A,70,30,0.5,0.3763,0.066,-0.3482,0.2027,0.418
A,70,30,0.75,0.4266,0.0737,-0.3497,0.2042,0.452
A,70,30,1.0,0.4671,0.0798,-0.3497,0.2049,0.478
A,70,35,0.25,0.3608,0.0636,-0.3456,0.2016,0.408
A,70,35,0.5,0.4057,0.0706,-0.3496,0.2045,0.437
A,70,35,0.75,0.4225,0.0731,-0.3497,0.2054,0.447
A,70,35,1.0,0.4223,0.0731,-0.3497,0.206,0.447
A,70,40,0.25,0.5015,0.0848,-0.349,0.2054,0.5
A,70,40,0.5,0.5259,0.0883,-0.3497,0.2079,0.512
A,70,40,0.75,0.5243,0.0881,-0.3497,0.2087,0.51
A,70,40,1.0,0.52,0.0875,-0.3497,0.2091,0.507
A,75,10,0.25,0.449,0.0771,-0.2789,0.1921,0.484
A,75,10,0.5,0.4693,0.0801,-0.2804,0.1926,0.498
A,75,10,0.75,0.4796,0.0816,-0.2806,0.1929,0.505
A,75,10,1.0,0.4803,0.0817,-0.2809,0.193,0.505
A,75,15,0.25,0.4631,0.0792,-0.2817,0.1929,0.493
A,75,15,0.5,0.4696,0.0801,-0.2825,0.1935,0.497
A,75,15,0.75,0.4681,0.0799,-0.2828,0.1937,0.495
A,75,15,1.0,0.4687,0.08,-0.2829,0.1937,0.496
A,75,20,0.25,0.4633,0.0792,-0.2928,0.1966,0.488
A,75,20,0.5,0.46,0.0787,-0.294,0.199,0.482
A,75,20,0.75,0.4594,0.0786,-0.294,0.2003,0.479
A,75,20,1.0,0.4658,0.0796,-0.294,0.2008,0.483
A,75,25,0.25,0.4796,0.0816,-0.3304,0.2053,0.486
A,75,25,0.5,0.4965,0.0841,-0.3476,0.2091,0.492
A,75,25,0.75,0.5203,0.0875,-0.3496,0.2101,0.506
A,75,25,1.0,0.5354,0.0897,-0.3497,0.2105,0.515
A,75,30,0.25,0.5673,0.0942,-0.3325,0.2083,0.538
A,75,30,0.5,0.605,0.0994,-0.3482,0.2109,0.556
A,75,30,0.75,0.6493,0.1054,-0.3497,0.2117,0.581
A,75,30,1.0,0.6861,0.1103,-0.3497,0.2121,0.601
A,75,35,0.25,0.5874,0.097,-0.3456,0.21,0.547
A,75,35,0.5,0.61,0.1001,-0.3502,0.2119,0.558
A,75,35,0.75,0.6099,0.1,-0.3554,0.2124,0.557
A,75,35,1.0,0.5976,0.0984,-0.3608,0.2128,0.549
A,75,40,0.25,0.7751,0.1218,-0.349,0.2135,0.647
A,75,40,0.5,0.7922,0.1239,-0.353,0.2153,0.652
A,75,40,0.75,0.7853,0.1231,-0.3575,0.2158,0.648
A,75,40,1.0,0.7833,0.1228,-0.3608,0.2161,0.646
A,80,10,0.25,0.6017,0.0989,-0.3613,0.2144,0.549
A,80,10,0.5,0.6173,0.1011,-0.364,0.2147,0.557
A,80,10,0.75,0.6289,0.1026,-0.364,0.2149,0.564
A,80,10,1.0,0.6315,0.103,-0.364,0.215,0.565
A,80,15,0.25,0.6157,0.1008,-0.364,0.215,0.556
A,80,15,0.5,0.6219,0.1017,-0.364,0.2152,0.559
A,80,15,0.75,0.6208,0.1015,-0.364,0.2153,0.559
A,80,15,1.0,0.6215,0.1016,-0.364,0.2154,0.559
A,80,20,0.25,0.6212,0.1016,-0.364,0.215,0.559
A,80,20,0.5,0.6229,0.1018,-0.364,0.2152,0.56
A,80,20,0.75,0.6209,0.1015,-0.364,0.2153,0.559
