ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
80,0.0,0.5,31,1.8697,0.0694,-0.3458,0.1657,0.515
80,0.0,0.75,28,1.823,0.0683,-0.3768,0.1805,0.481
80,0.0,0.75,29,1.8518,0.069,-0.3768,0.182,0.482
80,0.0,0.75,30,1.8642,0.0693,-0.3768,0.1821,0.484
80,0.0,0.75,31,1.8918,0.0699,-0.3768,0.1821,0.487
80,0.02,0.0,28,2.2486,0.0779,-0.2983,0.1606,0.579
80,0.02,0.0,29,2.2739,0.0784,-0.2983,0.1614,0.58
80,0.02,0.0,30,2.293,0.0788,-0.2983,0.1616,0.582
80,0.02,0.0,31,2.3244,0.0795,-0.2983,0.1616,0.586
80,0.02,0.25,28,2.3903,0.0808,-0.3185,0.1642,0.588
80,0.02,0.25,29,2.4167,0.0814,-0.3185,0.165,0.589
80,0.02,0.25,30,2.4366,0.0818,-0.3185,0.1652,0.591
80,0.02,0.25,31,2.4693,0.0824,-0.3185,0.1652,0.595
80,0.02,0.5,28,2.5245,0.0835,-0.348,0.1747,0.577
80,0.02,0.5,29,2.552,0.084,-0.348,0.1755,0.579
80,0.02,0.5,30,2.5727,0.0844,-0.348,0.1757,0.581
80,0.02,0.5,31,2.6067,0.0851,-0.348,0.1757,0.584
80,0.02,0.75,28,2.6529,0.086,-0.3779,0.1919,0.555
80,0.02,0.75,29,2.6814,0.0865,-0.3779,0.1926,0.556
80,0.02,0.75,30,2.7028,0.0869,-0.3779,0.1927,0.558
80,0.02,0.75,31,2.7381,0.0876,-0.3779,0.1927,0.561
80,0.03,0.0,28,2.6835,0.0866,-0.2983,0.1633,0.625
80,0.03,0.0,29,2.7122,0.0871,-0.2983,0.1641,0.625
80,0.03,0.0,30,2.7338,0.0875,-0.2983,0.1643,0.627
80,0.03,0.0,31,2.7672,0.0881,-0.2983,0.1643,0.631
80,0.03,0.25,28,2.7695,0.0882,-0.2987,0.1668,0.624
80,0.03,0.25,29,2.7988,0.0887,-0.2987,0.1676,0.625
80,0.03,0.25,30,2.8209,0.0891,-0.2987,0.1678,0.627
80,0.03,0.25,31,2.8552,0.0897,-0.2987,0.1678,0.631
80,0.03,0.5,28,2.8388,0.0894,-0.3355,0.177,0.605
80,0.03,0.5,29,2.8686,0.09,-0.3355,0.1778,0.606
80,0.03,0.5,30,2.8912,0.0904,-0.3355,0.178,0.608
80,0.03,0.5,31,2.926,0.091,-0.3355,0.178,0.611
80,0.03,0.75,28,2.9112,0.0907,-0.3719,0.1937,0.575
80,0.03,0.75,29,2.9417,0.0913,-0.3719,0.1944,0.576
80,0.03,0.75,30,2.9646,0.0917,-0.3719,0.1946,0.578
80,0.03,0.75,31,3.0001,0.0923,-0.3719,0.1946,0.581
80,0.05,0.0,28,2.3069,0.0791,-0.3164,0.167,0.57
80,0.05,0.0,29,2.561,0.0842,-0.2983,0.1683,0.597
80,0.05,0.0,30,2.5818,0.0846,-0.2983,0.1684,0.599
80,0.05,0.0,31,2.5122,0.0833,-0.2983,0.1687,0.591
80,0.05,0.25,28,2.4825,0.0827,-0.2987,0.1703,0.583
80,0.05,0.25,29,2.7511,0.0878,-0.2987,0.1715,0.61
80,0.05,0.25,30,2.7729,0.0882,-0.2987,0.1717,0.612
80,0.05,0.25,31,2.7085,0.087,-0.2987,0.1719,0.604
80,0.05,0.5,28,2.657,0.0861,-0.3355,0.1803,0.579
80,0.05,0.5,29,2.939,0.0912,-0.3355,0.1814,0.604
80,0.05,0.5,30,2.9619,0.0916,-0.3355,0.1815,0.606
80,0.05,0.5,31,2.9062,0.0906,-0.3355,0.182,0.6
80,0.05,0.75,28,2.8306,0.0893,-0.3719,0.1968,0.562
80,0.05,0.75,29,3.126,0.0944,-0.3719,0.1978,0.586
80,0.05,0.75,30,3.15,0.0948,-0.3719,0.1979,0.587
80,0.05,0.75,31,3.1041,0.0941,-0.3719,0.1986,0.582
