ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
175,0.02,0.25,29,1.829,0.0684,-0.4188,0.1889,0.468
175,0.02,0.25,30,1.8455,0.0688,-0.4254,0.189,0.47
175,0.02,0.25,31,1.8663,0.0693,-0.4263,0.1891,0.472
175,0.02,0.5,28,2.1463,0.0757,-0.4081,0.1944,0.497
175,0.02,0.5,29,2.1708,0.0762,-0.4081,0.1951,0.499
175,0.02,0.5,30,2.1893,0.0766,-0.4081,0.1952,0.5
175,0.02,0.5,31,2.2125,0.0771,-0.4081,0.1953,0.503
175,0.02,0.75,28,2.4785,0.0826,-0.4081,0.2049,0.515
175,0.02,0.75,29,2.5056,0.0831,-0.4081,0.2055,0.517
175,0.02,0.75,30,2.526,0.0835,-0.4081,0.2057,0.518
175,0.02,0.75,31,2.5518,0.084,-0.4081,0.2057,0.521
175,0.03,0.0,28,1.1686,0.0505,-0.469,0.1889,0.372
175,0.03,0.0,29,1.1855,0.051,-0.469,0.1897,0.374
175,0.03,0.0,30,1.1982,0.0514,-0.475,0.1898,0.376
175,0.03,0.0,31,1.2142,0.0519,-0.4758,0.1898,0.379
175,0.03,0.25,28,1.5448,0.0613,-0.4152,0.1908,0.427
175,0.03,0.25,29,1.5646,0.0618,-0.4152,0.1915,0.429
175,0.03,0.25,30,1.5796,0.0622,-0.4218,0.1916,0.431
175,0.03,0.25,31,1.5984,0.0627,-0.4228,0.1917,0.434
175,0.03,0.5,28,1.9464,0.0712,-0.4081,0.1964,0.471
175,0.03,0.5,29,1.9693,0.0717,-0.4081,0.1971,0.473
175,0.03,0.5,30,1.9866,0.0721,-0.4081,0.1973,0.475
175,0.03,0.5,31,2.0084,0.0726,-0.4081,0.1973,0.477
175,0.03,0.75,28,2.3658,0.0803,-0.4081,0.206,0.503
175,0.03,0.75,29,2.392,0.0809,-0.4081,0.2067,0.504
175,0.03,0.75,30,2.4117,0.0813,-0.4081,0.2068,0.506
175,0.03,0.75,31,2.4366,0.0818,-0.4081,0.2069,0.508
175,0.05,0.0,28,0.9867,0.0447,-0.5186,0.1914,0.339
175,0.05,0.0,29,1.1408,0.0497,-0.4852,0.1925,0.364
175,0.05,0.0,30,1.1695,0.0505,-0.4872,0.1926,0.369
175,0.05,0.0,31,1.1853,0.051,-0.4881,0.1927,0.371
175,0.05,0.25,28,1.4078,0.0575,-0.4528,0.1932,0.405
