date,fg,close,strategy_equity,benchmark_equity,strategy_in_stock
2021-01-22,68.9,13543.0595703125,100.0,100.0,False
2021-01-25,68.9,13635.990234375,100.0,100.68618662998583,False
2021-01-26,69.7,13626.0595703125,100.0,100.61286003778602,False
2021-01-27,67.4,13270.599609375,100.0,97.98819491620081,False
2021-01-28,28.200000000000003,13337.16015625,100.0,98.4796684014161,False
2021-01-29,52.900000000000006,13070.6904296875,100.0,96.51209434491102,False
2021-02-01,40.96666666666668,13403.3896484375,100.0,98.96869742653153,False
2021-02-02,43.400000000000006,13612.7802734375,100.0,100.51480762351392,False
2021-02-03,60.46666666666667,13610.5400390625,100.0,100.49826605575835,False
2021-02-04,59.2,13777.740234375,100.0,101.73284820054207,False
2021-02-05,61.06666666666667,13856.2998046875,100.0,102.31292074548391,False
2021-02-08,68.0,13987.6396484375,100.0,103.2827152226337,False
2021-02-09,72.86666666666667,14007.7001953125,100.0,103.43083940957132,False
2021-02-10,75.4,13972.5302734375,100.0,103.17114977524307,False
2021-02-11,75.26666666666667,14025.76953125,100.0,103.56426078192582,False
2021-02-12,76.0,14095.4697265625,100.0,104.07891697870788,False
2021-02-16,77.66666666666667,14047.5,100.0,103.72471543131417,False
2021-02-17,73.93333333333334,13965.490234375,100.0,103.11916714143754,False
2021-02-18,70.2,13865.3603515625,100.0,102.37982251777515,False
2021-02-19,62.53333333333334,13874.4599609375,100.0,102.44701272193662,False
2021-02-22,56.24,13533.0498046875,100.0,99.92608933326306,False
2021-02-23,52.48,13465.2001953125,100.0,99.42509759633138,False
2021-02-24,50.56,13597.9697265625,100.0,100.40544867993026,False
2021-02-25,63.8,13119.4296875,100.0,96.87197800014754,False
2021-02-26,46.16,13192.349609375,100.0,97.41040819383025,False
2021-03-01,53.52,13588.830078125,100.0,100.33796283310186,False
2021-03-02,58.52,13358.7900390625,100.0,98.63938033873872,False
2021-03-03,50.32000000000001,12997.75,100.0,95.97351272449643,False
2021-03-04,43.84,12723.4697265625,100.0,93.94826671554625,False
2021-03-05,37.8,12920.150390625,100.0,95.4005283927646,False
2021-03-08,41.52,12609.16015625,100.0,93.10422132300383,False
2021-03-09,39.08,13073.8203125,100.0,96.53520494851023,False
2021-03-10,43.36,13068.830078125,100.0,96.49835777709306,False
2021-03-11,45.56,13398.669921875,100.0,98.93384764581546,False
2021-03-12,50.48,13319.8603515625,100.0,98.3519291369044,False
2021-03-15,53.720000000000006,13459.7099609375,100.0,99.38455849697576,False
2021-03-16,56.52,13471.5703125,100.0,99.4721336235631,False
2021-03-17,54.8,13525.2001953125,100.0,99.86812894894777,False
2021-03-18,57.86666666666667,13116.169921875,100.0,96.84790836057992,False
2021-03-19,52.333333333333336,13215.240234375,100.0,97.57942926976332,False
