ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
80,0.0,0.5,30,0.1673,0.0315,-0.1936,0.148,0.29
80,0.0,0.5,31,0.1673,0.0315,-0.1936,0.148,0.29
80,0.0,0.75,28,0.0374,0.0074,-0.2435,0.1234,0.123
80,0.0,0.75,29,0.1337,0.0255,-0.2435,0.1568,0.244
80,0.0,0.75,30,0.1337,0.0255,-0.2435,0.1568,0.244
80,0.0,0.75,31,0.1337,0.0255,-0.2435,0.1568,0.244
80,0.02,0.0,28,-0.0183,-0.0037,-0.1571,0.0991,0.011
80,0.02,0.0,29,0.0818,0.0159,-0.1747,0.1343,0.188
80,0.02,0.0,30,0.0615,0.012,-0.1902,0.1373,0.159
80,0.02,0.0,31,0.0615,0.012,-0.1902,0.1373,0.159
80,0.02,0.25,28,0.0209,0.0042,-0.1828,0.1076,0.094
80,0.02,0.25,29,0.1251,0.0239,-0.1828,0.1407,0.244
80,0.02,0.25,30,0.104,0.02,-0.191,0.1436,0.214
80,0.02,0.25,31,0.104,0.02,-0.191,0.1436,0.214
80,0.02,0.5,28,0.0344,0.0068,-0.213,0.1183,0.118
80,0.02,0.5,29,0.1644,0.031,-0.213,0.1559,0.28
80,0.02,0.5,30,0.1425,0.0271,-0.213,0.1585,0.253
80,0.02,0.5,31,0.1425,0.0271,-0.213,0.1585,0.253
80,0.02,0.75,28,0.0241,0.0048,-0.2448,0.1286,0.103
80,0.02,0.75,29,0.178,0.0334,-0.2448,0.1649,0.288
80,0.02,0.75,30,0.1648,0.0311,-0.2448,0.1691,0.271
80,0.02,0.75,31,0.1648,0.0311,-0.2448,0.1691,0.271
80,0.03,0.0,28,0.0067,0.0013,-0.1789,0.1021,0.065
80,0.03,0.0,29,0.1111,0.0213,-0.1789,0.1365,0.228
80,0.03,0.0,30,0.0985,0.019,-0.1789,0.1397,0.209
80,0.03,0.0,31,0.0985,0.019,-0.1789,0.1397,0.209
80,0.03,0.25,28,0.0339,0.0067,-0.2016,0.1102,0.118
80,0.03,0.25,29,0.1411,0.0268,-0.2016,0.1427,0.263
80,0.03,0.25,30,0.1281,0.0245,-0.2016,0.1457,0.244
80,0.03,0.25,31,0.1281,0.0245,-0.2016,0.1457,0.244
80,0.03,0.5,28,0.0355,0.007,-0.2251,0.12,0.12
80,0.03,0.5,29,0.1663,0.0313,-0.2251,0.1572,0.281
80,0.03,0.5,30,0.1531,0.029,-0.2251,0.1599,0.264
80,0.03,0.5,31,0.1531,0.029,-0.2251,0.1599,0.264
80,0.03,0.75,28,0.0236,0.0047,-0.2502,0.1295,0.102
80,0.03,0.75,29,0.1782,0.0334,-0.2502,0.1656,0.288
80,0.03,0.75,30,0.1649,0.0311,-0.2502,0.1699,0.271
80,0.03,0.75,31,0.1649,0.0311,-0.2502,0.1699,0.271
80,0.05,0.0,28,-0.0818,-0.017,-0.2751,0.1074,-0.111
80,0.05,0.0,29,0.0134,0.0027,-0.2751,0.1406,0.09
80,0.05,0.0,30,0.0019,0.0004,-0.2751,0.1436,0.075
80,0.05,0.0,31,0.0019,0.0004,-0.2751,0.1436,0.075
80,0.05,0.25,28,-0.0355,-0.0072,-0.2736,0.1149,-0.008
80,0.05,0.25,29,0.0645,0.0126,-0.2736,0.1464,0.162
80,0.05,0.25,30,0.0524,0.0103,-0.2736,0.1493,0.145
80,0.05,0.25,31,0.0524,0.0103,-0.2736,0.1493,0.145
80,0.05,0.5,28,-0.0118,-0.0024,-0.2727,0.1237,0.042
80,0.05,0.5,29,0.1131,0.0217,-0.2727,0.1601,0.218
80,0.05,0.5,30,0.1004,0.0194,-0.2727,0.1628,0.203
80,0.05,0.5,31,0.1004,0.0194,-0.2727,0.1628,0.203
80,0.05,0.75,28,-0.0003,-0.0001,-0.2741,0.1317,0.065
80,0.05,0.75,29,0.1507,0.0286,-0.2741,0.1674,0.257
80,0.05,0.75,30,0.1378,0.0262,-0.2741,0.1715,0.241
80,0.05,0.75,31,0.1378,0.0262,-0.2741,0.1715,0.241
100,0.0,0.0,28,0.0515,0.0101,-0.1425,0.0964,0.156
100,0.0,0.0,29,0.1415,0.0269,-0.1473,0.1293,0.277
100,0.0,0.0,30,0.1415,0.0269,-0.1473,0.1293,0.277
100,0.0,0.0,31,0.1415,0.0269,-0.1473,0.1293,0.277
100,0.0,0.25,28,0.0624,0.0122,-0.1482,0.1051,0.172
100,0.0,0.25,29,0.1534,0.029,-0.162,0.1359,0.285
100,0.0,0.25,30,0.1534,0.029,-0.162,0.1359,0.285
100,0.0,0.25,31,0.1534,0.029,-0.162,0.1359,0.285
100,0.0,0.5,28,0.0522,0.0103,-0.1965,0.1147,0.149
100,0.0,0.5,29,0.1498,0.0284,-0.1965,0.15,0.267
100,0.0,0.5,30,0.1498,0.0284,-0.1965,0.15,0.267
100,0.0,0.5,31,0.1498,0.0284,-0.1965,0.15,0.267
