ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
80,0.0,0.5,30,0.4641,0.0634,-0.2148,0.1429,0.514
80,0.0,0.5,31,0.4641,0.0634,-0.2148,0.1429,0.514
80,0.0,0.75,28,0.275,0.04,-0.2827,0.1248,0.386
80,0.0,0.75,29,0.3933,0.0549,-0.2827,0.1519,0.438
80,0.0,0.75,30,0.3933,0.0549,-0.2827,0.1519,0.438
80,0.0,0.75,31,0.3933,0.0549,-0.2827,0.1519,0.438
80,0.02,0.0,28,0.2545,0.0372,-0.1534,0.1024,0.419
80,0.02,0.0,29,0.3825,0.0536,-0.1711,0.1307,0.477
80,0.02,0.0,30,0.3566,0.0504,-0.1867,0.1332,0.447
80,0.02,0.0,31,0.3566,0.0504,-0.1867,0.1332,0.447
80,0.02,0.25,28,0.2866,0.0415,-0.1956,0.1095,0.437
80,0.02,0.25,29,0.4179,0.0579,-0.1956,0.1363,0.494
80,0.02,0.25,30,0.3912,0.0547,-0.2037,0.1387,0.465
80,0.02,0.25,31,0.3912,0.0547,-0.2037,0.1387,0.465
80,0.02,0.5,28,0.2845,0.0412,-0.2413,0.1191,0.409
80,0.02,0.5,29,0.4459,0.0613,-0.2413,0.1498,0.483
80,0.02,0.5,30,0.4188,0.058,-0.2413,0.152,0.458
80,0.02,0.5,31,0.4188,0.058,-0.2413,0.152,0.458
80,0.02,0.75,28,0.2521,0.0369,-0.2876,0.1292,0.354
80,0.02,0.75,29,0.4404,0.0606,-0.2876,0.1588,0.461
80,0.02,0.75,30,0.4242,0.0587,-0.2876,0.1624,0.443
80,0.02,0.75,31,0.4242,0.0587,-0.2876,0.1624,0.443
80,0.03,0.0,28,0.2382,0.0351,-0.2255,0.1061,0.388
80,0.03,0.0,29,0.3666,0.0517,-0.2255,0.1335,0.455
80,0.03,0.0,30,0.3511,0.0497,-0.2255,0.1361,0.435
80,0.03,0.0,31,0.3511,0.0497,-0.2255,0.1361,0.435
80,0.03,0.25,28,0.2646,0.0386,-0.251,0.1127,0.402
80,0.03,0.25,29,0.3958,0.0552,-0.251,0.1388,0.468
80,0.03,0.25,30,0.3799,0.0533,-0.251,0.1413,0.449
80,0.03,0.25,31,0.3799,0.0533,-0.251,0.1413,0.449
80,0.03,0.5,28,0.2596,0.0379,-0.2771,0.1214,0.376
80,0.03,0.5,29,0.4187,0.058,-0.2771,0.1516,0.459
80,0.03,0.5,30,0.4027,0.0561,-0.2771,0.1539,0.442
80,0.03,0.5,31,0.4027,0.0561,-0.2771,0.1539,0.442
80,0.03,0.75,28,0.2382,0.0351,-0.3044,0.1306,0.337
80,0.03,0.75,29,0.4252,0.0588,-0.3044,0.1599,0.448
80,0.03,0.75,30,0.4092,0.0569,-0.3044,0.1634,0.43
80,0.03,0.75,31,0.4092,0.0569,-0.3044,0.1634,0.43
80,0.05,0.0,28,0.1403,0.0214,-0.3096,0.1103,0.253
80,0.05,0.0,29,0.2586,0.0378,-0.3096,0.1369,0.347
80,0.05,0.0,30,0.2443,0.0359,-0.3096,0.1394,0.33
80,0.05,0.0,31,0.2443,0.0359,-0.3096,0.1394,0.33
80,0.05,0.25,28,0.1884,0.0282,-0.3136,0.1165,0.304
80,0.05,0.25,29,0.3116,0.0447,-0.3136,0.1419,0.388
80,0.05,0.25,30,0.2967,0.0428,-0.3136,0.1444,0.371
80,0.05,0.25,31,0.2967,0.0428,-0.3136,0.1444,0.371
80,0.05,0.5,28,0.2081,0.0309,-0.3182,0.1244,0.314
80,0.05,0.5,29,0.3606,0.0509,-0.3182,0.1541,0.409
80,0.05,0.5,30,0.3452,0.049,-0.3182,0.1563,0.393
80,0.05,0.5,31,0.3452,0.049,-0.3182,0.1563,0.393
80,0.05,0.75,28,0.2124,0.0315,-0.325,0.1323,0.308
80,0.05,0.75,29,0.3955,0.0552,-0.325,0.1614,0.423
80,0.05,0.75,30,0.3798,0.0533,-0.325,0.1649,0.407
80,0.05,0.75,31,0.3798,0.0533,-0.325,0.1649,0.407
100,0.0,0.0,28,0.4486,0.0616,-0.1173,0.0967,0.684
100,0.0,0.0,29,0.5727,0.0757,-0.1473,0.1237,0.669
100,0.0,0.0,30,0.5727,0.0757,-0.1473,0.1237,0.669
100,0.0,0.0,31,0.5727,0.0757,-0.1473,0.1237,0.669
100,0.0,0.25,28,0.4218,0.0584,-0.1255,0.1042,0.613
100,0.0,0.25,29,0.5435,0.0725,-0.162,0.1296,0.621
100,0.0,0.25,30,0.5435,0.0725,-0.162,0.1296,0.621
100,0.0,0.25,31,0.5435,0.0725,-0.162,0.1296,0.621
100,0.0,0.5,28,0.3639,0.0513,-0.1985,0.1133,0.511
100,0.0,0.5,29,0.4904,0.0665,-0.1985,0.1426,0.536
100,0.0,0.5,30,0.4904,0.0665,-0.1985,0.1426,0.536
100,0.0,0.5,31,0.4904,0.0665,-0.1985,0.1426,0.536
100,0.0,0.75,28,0.2897,0.0419,-0.2732,0.1243,0.402
100,0.0,0.75,29,0.4093,0.0569,-0.2732,0.1515,0.452
100,0.0,0.75,30,0.4093,0.0569,-0.2732,0.1515,0.452
100,0.0,0.75,31,0.4093,0.0569,-0.2732,0.1515,0.452
100,0.02,0.0,28,0.4138,0.0574,-0.1136,0.1018,0.616
100,0.02,0.0,29,0.5783,0.0764,-0.1473,0.1309,0.644
100,0.02,0.0,30,0.5494,0.0732,-0.1715,0.1334,0.612
100,0.02,0.0,31,0.5494,0.0732,-0.1715,0.1334,0.612
100,0.02,0.25,28,0.3995,0.0557,-0.1416,0.1081,0.57
100,0.02,0.25,29,0.5624,0.0746,-0.1571,0.1359,0.613
100,0.02,0.25,30,0.5338,0.0714,-0.1649,0.1383,0.583
100,0.02,0.25,31,0.5338,0.0714,-0.1649,0.1383,0.583
100,0.02,0.5,28,0.36,0.0508,-0.2052,0.1177,0.493
100,0.02,0.5,29,0.5386,0.0719,-0.2052,0.1488,0.555
100,0.02,0.5,30,0.5104,0.0688,-0.2052,0.1509,0.529
100,0.02,0.5,31,0.5104,0.0688,-0.2052,0.1509,0.529
100,0.02,0.75,28,0.2906,0.042,-0.272,0.1281,0.395
100,0.02,0.75,29,0.4883,0.0662,-0.272,0.158,0.497
100,0.02,0.75,30,0.4715,0.0643,-0.272,0.1615,0.478
100,0.02,0.75,31,0.4715,0.0643,-0.272,0.1615,0.478
100,0.03,0.0,28,0.4069,0.0566,-0.1407,0.1041,0.597
100,0.03,0.0,29,0.5729,0.0758,-0.1473,0.1327,0.633
100,0.03,0.0,30,0.5558,0.0739,-0.1473,0.1353,0.61
100,0.03,0.0,31,0.5558,0.0739,-0.1473,0.1353,0.61
100,0.03,0.25,28,0.384,0.0538,-0.1851,0.1102,0.545
100,0.03,0.25,29,0.5473,0.0729,-0.1851,0.1375,0.596
100,0.03,0.25,30,0.5305,0.071,-0.1851,0.14,0.575
100,0.03,0.25,31,0.5305,0.071,-0.1851,0.14,0.575
100,0.03,0.5,28,0.3388,0.0482,-0.2331,0.1192,0.466
100,0.03,0.5,29,0.5154,0.0693,-0.2331,0.1499,0.535
100,0.03,0.5,30,0.4989,0.0674,-0.2331,0.1522,0.518
100,0.03,0.5,31,0.4989,0.0674,-0.2331,0.1522,0.518
100,0.03,0.75,28,0.2785,0.0404,-0.281,0.129,0.381
100,0.03,0.75,29,0.4751,0.0647,-0.281,0.1587,0.486
100,0.03,0.75,30,0.4585,0.0628,-0.281,0.1623,0.467
100,0.03,0.75,31,0.4585,0.0628,-0.281,0.1623,0.467
100,0.05,0.0,28,0.2583,0.0377,-0.1723,0.1074,0.409
100,0.05,0.0,29,0.3689,0.0519,-0.1821,0.1364,0.45
100,0.05,0.0,30,0.354,0.0501,-0.1821,0.1389,0.432
100,0.05,0.0,31,0.354,0.0501,-0.1821,0.1389,0.432
100,0.05,0.25,28,0.3174,0.0455,-0.2087,0.1132,0.461
100,0.05,0.25,29,0.4332,0.0598,-0.2087,0.141,0.494
100,0.05,0.25,30,0.4177,0.0579,-0.2087,0.1434,0.476
100,0.05,0.25,31,0.4177,0.0579,-0.2087,0.1434,0.476
100,0.05,0.5,28,0.2953,0.0426,-0.2488,0.1209,0.416
100,0.05,0.5,29,0.4662,0.0637,-0.2488,0.1513,0.496
100,0.05,0.5,30,0.4503,0.0618,-0.2488,0.1535,0.479
100,0.05,0.5,31,0.4503,0.0618,-0.2488,0.1535,0.479
100,0.05,0.75,28,0.2569,0.0376,-0.2888,0.1301,0.357
100,0.05,0.75,29,0.4503,0.0618,-0.2888,0.1596,0.466
100,0.05,0.75,30,0.434,0.0598,-0.2888,0.1631,0.448
100,0.05,0.75,31,0.434,0.0598,-0.2888,0.1631,0.448
125,0.0,0.0,28,0.2523,0.037,-0.1554,0.1004,0.422
125,0.0,0.0,29,0.3168,0.0454,-0.2113,0.1294,0.418
125,0.0,0.0,30,0.3171,0.0454,-0.2113,0.1317,0.413
125,0.0,0.0,31,0.3171,0.0454,-0.2113,0.1317,0.413
125,0.0,0.25,28,0.3261,0.0466,-0.1411,0.1064,0.494
125,0.0,0.25,29,0.3966,0.0553,-0.1884,0.134,0.481
125,0.0,0.25,30,0.3969,0.0554,-0.1884,0.1362,0.476
125,0.0,0.25,31,0.3969,0.0554,-0.1884,0.1362,0.476
125,0.0,0.5,28,0.3072,0.0441,-0.2037,0.1155,0.443
125,0.0,0.5,29,0.4285,0.0592,-0.2037,0.1443,0.482
125,0.0,0.5,30,0.4309,0.0595,-0.2037,0.1466,0.479
125,0.0,0.5,31,0.4309,0.0595,-0.2037,0.1466,0.479
125,0.0,0.75,28,0.2624,0.0383,-0.2754,0.1267,0.369
125,0.0,0.75,29,0.3796,0.0533,-0.2754,0.1534,0.425
125,0.0,0.75,30,0.3937,0.055,-0.2754,0.1572,0.429
125,0.0,0.75,31,0.3937,0.055,-0.2754,0.1572,0.429
125,0.02,0.0,28,0.2234,0.033,-0.1479,0.1034,0.375
125,0.02,0.0,29,0.2809,0.0407,-0.2115,0.1318,0.378
125,0.02,0.0,30,0.2892,0.0418,-0.2115,0.1342,0.381
125,0.02,0.0,31,0.2892,0.0418,-0.2115,0.1342,0.381
125,0.02,0.25,28,0.3005,0.0433,-0.1804,0.1089,0.455
125,0.02,0.25,29,0.3653,0.0515,-0.1874,0.1361,0.448
125,0.02,0.25,30,0.3742,0.0526,-0.1874,0.1384,0.45
125,0.02,0.25,31,0.3742,0.0526,-0.1874,0.1384,0.45
125,0.02,0.5,28,0.2858,0.0414,-0.2285,0.1177,0.414
125,0.02,0.5,29,0.4049,0.0563,-0.2285,0.1461,0.459
125,0.02,0.5,30,0.4141,0.0575,-0.2285,0.1485,0.461
125,0.02,0.5,31,0.4141,0.0575,-0.2285,0.1485,0.461
125,0.02,0.75,28,0.2543,0.0372,-0.2827,0.1281,0.358
125,0.02,0.75,29,0.3704,0.0521,-0.2827,0.1546,0.415
125,0.02,0.75,30,0.3844,0.0538,-0.2827,0.1585,0.42
125,0.02,0.75,31,0.3844,0.0538,-0.2827,0.1585,0.42
125,0.03,0.0,28,0.1372,0.021,-0.1965,0.1049,0.256
125,0.03,0.0,29,0.2219,0.0329,-0.2261,0.1355,0.313
125,0.03,0.0,30,0.2037,0.0304,-0.2376,0.1379,0.292
125,0.03,0.0,31,0.2037,0.0304,-0.2376,0.1379,0.292
125,0.03,0.25,28,0.2448,0.0359,-0.2093,0.1102,0.385
125,0.03,0.25,29,0.3408,0.0484,-0.2273,0.1395,0.419
125,0.03,0.25,30,0.3208,0.0459,-0.2389,0.1418,0.397
125,0.03,0.25,31,0.3208,0.0459,-0.2389,0.1418,0.397
125,0.03,0.5,28,0.2553,0.0373,-0.2477,0.1185,0.378
125,0.03,0.5,29,0.4214,0.0583,-0.2477,0.1494,0.465
125,0.03,0.5,30,0.4002,0.0558,-0.2477,0.1515,0.445
125,0.03,0.5,31,0.4002,0.0558,-0.2477,0.1515,0.445
125,0.03,0.75,28,0.2389,0.0351,-0.2879,0.1287,0.341
125,0.03,0.75,29,0.4295,0.0593,-0.2879,0.1584,0.454
125,0.03,0.75,30,0.4134,0.0574,-0.2879,0.1619,0.436
125,0.03,0.75,31,0.4134,0.0574,-0.2879,0.1619,0.436
125,0.05,0.0,28,0.2074,0.0309,-0.1873,0.1076,0.345
125,0.05,0.0,29,0.3097,0.0445,-0.2091,0.1377,0.394
125,0.05,0.0,30,0.2902,0.0419,-0.2091,0.1401,0.372
125,0.05,0.0,31,0.2902,0.0419,-0.2091,0.1401,0.372
125,0.05,0.25,28,0.2865,0.0415,-0.2105,0.1126,0.428
125,0.05,0.25,29,0.3961,0.0553,-0.2105,0.1415,0.462
125,0.05,0.25,30,0.3752,0.0527,-0.2147,0.1438,0.44
125,0.05,0.25,31,0.3752,0.0527,-0.2147,0.1438,0.44
125,0.05,0.5,28,0.2801,0.0406,-0.2493,0.1205,0.401
125,0.05,0.5,29,0.4495,0.0617,-0.2493,0.1509,0.484
125,0.05,0.5,30,0.4279,0.0591,-0.2493,0.1531,0.463
125,0.05,0.5,31,0.4279,0.0591,-0.2493,0.1531,0.463
125,0.05,0.75,28,0.2503,0.0367,-0.2891,0.1299,0.35
125,0.05,0.75,29,0.4426,0.0609,-0.2891,0.1594,0.461
125,0.05,0.75,30,0.4264,0.0589,-0.2891,0.1629,0.443
125,0.05,0.75,31,0.4264,0.0589,-0.2891,0.1629,0.443
150,0.0,0.0,28,0.2593,0.0379,-0.1406,0.099,0.436
150,0.0,0.0,29,0.3163,0.0453,-0.2151,0.1287,0.419
150,0.0,0.0,30,0.3161,0.0453,-0.2151,0.131,0.414
