date,fg,fg_rating,close,fwd_ret_1w,fwd_ret_1m,fwd_ret_3m,fwd_ret_6m,fwd_ret_12m,fg_chg_5d
2016-12-08,83.0,extreme greed,5417.35986328125,0.0072895719264773895,0.024820201044583934,0.08462054089892757,0.13993903244173178,0.2626224306210332,12.0
2016-12-09,86.0,extreme greed,5444.5,-0.001348120809991693,0.02188445262994776,0.07573143984181274,0.14250530208237677,0.2627569249931123,15.0
2016-12-12,87.0,extreme greed,5412.5400390625,0.008295532600166577,0.02493287704821756,0.0900704220396753,0.14454398341813657,0.2678557155592636,12.0
2016-12-13,86.0,extreme greed,5463.830078125,0.0036805433173630053,0.020185481152508178,0.07996765661679195,0.1284208900793249,0.2584212368198391,7.0
2016-12-14,86.0,extreme greed,5436.669921875,0.006393666418185173,0.018772531726287234,0.08540707543357007,0.13153085510539508,0.2611635217301491,3.0
2016-12-15,86.0,extreme greed,5456.85009765625,-0.001728135391752872,0.01810564756578792,0.08149017831569028,0.1433353773644419,0.2711692558870735,3.0
2016-12-16,84.0,extreme greed,5437.16015625,0.004695426366446709,0.018928984785687053,0.06559856830132338,0.1380995974604735,0.2864730051375337,-2.0
2016-12-19,79.0,extreme greed,5457.43994140625,0.005497082940370435,0.017937006686238766,0.06673462268439634,0.14228470899235623,0.27602871903741644,-8.0
2016-12-20,75.0,greed,5483.93994140625,-0.008275051021230384,0.012582194687986714,0.060859528653848916,0.1372644500200293,0.26933555715646595,-11.0
2016-12-21,75.0,greed,5471.43017578125,-0.00719013690522563,0.023673844131210986,0.06530469129905891,0.1450845206309157,0.2730418993762789,-11.0
2016-12-22,71.0,greed,5447.419921875,-0.011803717284451287,0.038352086835833576,0.072135102662922,0.14680894660925703,0.2776617299115587,-15.0
2016-12-23,66.0,greed,5462.68994140625,-0.006152621445067341,0.03523726157619844,0.07550313119296748,0.125200255390147,0.2697498987494089,-18.0
2016-12-27,70.0,greed,5487.43994140625,-0.0019025158393942698,0.031588472147465296,0.07473610056061086,0.13612362464459626,0.26458602150489785,-9.0
2016-12-28,66.0,greed,5438.56005859375,0.009079587663001432,0.03220519778337039,0.08748267556675149,0.12977516685638957,0.2779412346964327,-9.0
2016-12-29,65.0,greed,5432.08984375,0.016378634632878253,0.033633500285844775,0.08829942147898584,0.1303973421831348,0.27085345332820365,-10.0
2016-12-30,58.0,greed,5383.1201171875,0.027623330669600765,0.04821177672175847,0.09503040011320119,0.13504063174909264,0.30164286692614617,-13.0
2017-01-03,70.0,greed,5429.080078125,0.02260783490527185,0.03815013118374044,0.08648422539356027,0.13294697716183368,0.3014230189060718,4.0
2017-01-04,70.0,greed,5477.0,0.01582068693513783,0.03464853378332111,0.07074675560868182,0.11182398410398031,0.2922969063812306,0.0
2017-01-05,70.0,greed,5487.93994140625,0.010851119655928887,0.03199923198070764,0.07124900383039834,0.1212003308746692,0.3004078278533513,4.0
2017-01-06,68.0,greed,5521.06005859375,0.009610483861909769,0.027741077732273522,0.06461621431643438,0.11869642263806801,0.2963796917184385,3.0
2017-01-09,62.0,greed,5531.81982421875,0.0012491650974868485,0.02722980427422428,0.06310949428144186,0.11957728224855368,0.29497711526363757,4.0
2017-01-10,62.0,greed,5551.81982421875,0.0006898779582673598,0.02942464934648492,0.056729181652940275,0.12776893345166673,0.28850900258194123,-8.0
2017-01-11,61.0,greed,5563.64990234375,-0.004236396004863807,0.030641751990349686,0.04898048200183336,0.1277560686848882,0.296231774418122,-9.0
2017-01-12,55.0,neutral,5547.490234375,0.0014132235333053078,0.03902120011336763,0.04644616882282415,0.13789658893467793,0.30889100328660724,-15.0
2017-01-13,58.0,greed,5574.1201171875,-0.003799734368109875,0.03739598405648037,0.05071112856061388,0.13281200315562702,0.29593367016480143,-10.0
2017-01-17,58.0,greed,5538.72998046875,0.011235424129392824,0.05068128649119363,0.056103156404223586,0.14544490902530383,0.31768109492468644,-4.0
2017-01-18,55.0,neutral,5555.64990234375,0.018123881665720543,0.04666420752874134,0.055327439312334414,0.14928768934285386,0.3132666623952549,-7.0
2017-01-19,53.0,neutral,5540.080078125,0.020775890606838487,0.05388008761436991,0.06799535416801072,0.1534129308402794,0.3242371553039798,-8.0
2017-01-20,53.0,neutral,5555.330078125,0.01898171765643153,0.05591389041141159,0.06393678438746009,0.14984166740204818,0.33349948265478435,-2.0
2017-01-23,55.0,neutral,5552.93994140625,0.010943755951349221,0.055410277196034086,0.07759491140892516,0.15448935631208172,0.343484733813495,-3.0
2017-01-24,59.0,greed,5600.9599609375,0.00246923352808337,0.04187671512085589,0.07579598433095058,0.14483409390445234,0.32389092411090936,1.0
2017-01-25,55.0,neutral,5656.33984375,-0.002420282688879949,0.03340856809594883,0.06521710981110096,0.1354957759648845,0.31023954730000836,0.0
2017-01-26,58.0,greed,5655.18017578125,-0.0033562114519415376,0.03655404781757321,0.06962815567067282,0.12855642844740411,0.32723799883075255,5.0
2017-01-27,60.0,greed,5660.77978515625,0.0010581995064897765,0.02908789292276892,0.06833512215743665,0.12611343626137805,0.3189896178621454,7.0
2017-01-30,55.0,neutral,5613.7099609375,0.008878236335116307,0.05171621374080848,0.08512911070292306,0.13082438554188358,0.31864311337390894,0.0
2017-01-31,54.0,neutral,5614.7900390625,0.010584576692590497,0.043889472993080325,0.08559181639590618,0.13324628296673913,0.3199923646131999,-5.0
2017-02-01,55.0,neutral,5642.64990234375,0.007053475522594166,0.04042428674540055,0.07618759089859273,0.12759962295391358,0.3089346302015714,0.0
2017-02-02,51.0,neutral,5636.2001953125,0.014012983522912359,0.037787866485984756,0.07791413243318113,0.12493162486015263,0.28472196593276333,-7.0
2017-02-03,60.0,greed,5666.77001953125,0.011886817896100466,0.029498313090854378,0.0765850289667569,0.12084309698510487,0.22954165444190688,0.0
2017-02-06,57.0,greed,5663.5498046875,0.017729191004358213,0.03072278094137837,0.07753270770199028,0.12716763155285604,0.25643459106212196,2.0
2017-02-07,57.0,greed,5674.22021484375,0.019095065977798642,0.029006601351042605,0.07866625051642306,0.12270227797511057,0.24281041508061008,3.0
2017-02-08,61.0,greed,5682.4501953125,0.024107513728277574,0.031549732772693684,0.07860868569947654,0.1178857464276748,0.19264752409806163,6.0
2017-02-09,66.0,greed,5715.18017578125,0.01744822096511922,0.028100533042783038,0.07012548560666576,0.08778199916289964,0.20284750837890697,15.0
2017-02-10,70.0,greed,5734.1298828125,0.01821552658330594,0.021396435712766282,0.06750807979019546,0.09110888425237529,0.2176145472158295,10.0
2017-02-13,72.0,greed,5763.9599609375,0.01769447308208072,0.023610476941596348,0.06691752953723928,0.0999781440947971,0.21678669060085953,15.0
2017-02-14,78.0,extreme greed,5782.56982421875,0.013499198620450015,0.020438999441259265,0.06697719262232615,0.09518950192367392,0.23537118173106264,21.0
